"Year","Value"
"1960","79000.0"
"1961","81200.0"
"1962","83400.0"
"1963","85700.0"
"1964","88100.0"
"1965","90500.0"
"1966","93500.0"
"1967","96500.0"
"1968","99500.0"
"1969","104000.0"
"1970","112000.0"
"1971","120000.0"
"1972","125500.0"
"1973","128500.0"
"1974","131000.0"
"1975","132500.0"
"1976","134000.0"
"1977","136000.0"
"1978","137500.0"
"1979","138500.0"
"1980","140050.0"
"1981","142650.0"
"1982","145700.0"
"1983","148700.0"
"1984","151650.0"
"1985","154450.0"
"1986","157350.0"
"1987","160500.0"
"1988","163650.0"
"1989","166898.0"
"1990","170899.0"
"1991","175362.0"
"1992","179799.0"
"1993","184496.0"
"1994","189482.0"
"1995","193816.0"
"1996","197564.0"
"1997","201418.0"
"1998","205279.0"
"1999","209214.0"
"2000","213230.0"
"2001","217324.0"
"2002","221490.0"
"2003","225000.0"
"2004","228000.0"
"2005","231000.0"
"2006","235000.0"
"2007","238000.0"
"2008","242000.0"
"2009","245000.0"
"2010","250000.0"
"2011","254000.0"
"2012","259000.0"
"2013","263000.0"
"2014","268000.0"
"2015","273000.0"
"2016","278000.0"
