"Country Name","Country Code","Year","Value"
"New Zealand","NZL","1960","2371800"
"New Zealand","NZL","1961","2419700"
"New Zealand","NZL","1962","2482000"
"New Zealand","NZL","1963","2531800"
"New Zealand","NZL","1964","2585400"
"New Zealand","NZL","1965","2628400"
"New Zealand","NZL","1966","2675900"
"New Zealand","NZL","1967","2724100"
"New Zealand","NZL","1968","2748100"
"New Zealand","NZL","1969","2772800"
"New Zealand","NZL","1970","2810700"
"New Zealand","NZL","1971","2853000"
"New Zealand","NZL","1972","2903900"
"New Zealand","NZL","1973","2961300"
"New Zealand","NZL","1974","3023700"
"New Zealand","NZL","1975","3083100"
"New Zealand","NZL","1976","3110500"
"New Zealand","NZL","1977","3120200"
"New Zealand","NZL","1978","3121200"
"New Zealand","NZL","1979","3109000"
"New Zealand","NZL","1980","3112900"
"New Zealand","NZL","1981","3124900"
"New Zealand","NZL","1982","3156100"
"New Zealand","NZL","1983","3199300"
"New Zealand","NZL","1984","3227100"
"New Zealand","NZL","1985","3247100"
"New Zealand","NZL","1986","3246300"
"New Zealand","NZL","1987","3274400"
"New Zealand","NZL","1988","3283400"
"New Zealand","NZL","1989","3299200"
"New Zealand","NZL","1990","3329800"
"New Zealand","NZL","1991","3495100"
"New Zealand","NZL","1992","3531700"
"New Zealand","NZL","1993","3572200"
"New Zealand","NZL","1994","3620000"
"New Zealand","NZL","1995","3673400"
"New Zealand","NZL","1996","3732000"
"New Zealand","NZL","1997","3781300"
"New Zealand","NZL","1998","3815000"
"New Zealand","NZL","1999","3835100"
"New Zealand","NZL","2000","3857700"
"New Zealand","NZL","2001","3880500"
"New Zealand","NZL","2002","3948500"
"New Zealand","NZL","2003","4027200"
"New Zealand","NZL","2004","4087500"
"New Zealand","NZL","2005","4133900"
"New Zealand","NZL","2006","4184600"
"New Zealand","NZL","2007","4223800"
"New Zealand","NZL","2008","4259800"
"New Zealand","NZL","2009","4302600"
"New Zealand","NZL","2010","4350700"
"New Zealand","NZL","2011","4384000"
"New Zealand","NZL","2012","4408100"
"New Zealand","NZL","2013","4442100"
"New Zealand","NZL","2014","4509700"
"New Zealand","NZL","2015","4595700"
"New Zealand","NZL","2016","4692700"
