"Country Name","Country Code","Year","Value"
"Niger","NER","1960","3388764"
"Niger","NER","1961","3486295"
"Niger","NER","1962","3588156"
"Niger","NER","1963","3693866"
"Niger","NER","1964","3802640"
"Niger","NER","1965","3913934"
"Niger","NER","1966","4027758"
"Niger","NER","1967","4144395"
"Niger","NER","1968","4263745"
"Niger","NER","1969","4385758"
"Niger","NER","1970","4510479"
"Niger","NER","1971","4637829"
"Niger","NER","1972","4768078"
"Niger","NER","1973","4902006"
"Niger","NER","1974","5040656"
"Niger","NER","1975","5184811"
"Niger","NER","1976","5334918"
"Niger","NER","1977","5490921"
"Niger","NER","1978","5652355"
"Niger","NER","1979","5818506"
"Niger","NER","1980","5988904"
"Niger","NER","1981","6164006"
"Niger","NER","1982","6344382"
"Niger","NER","1983","6529894"
"Niger","NER","1984","6720344"
"Niger","NER","1985","6915927"
"Niger","NER","1986","7116744"
"Niger","NER","1987","7323969"
"Niger","NER","1988","7540253"
"Niger","NER","1989","7768995"
"Niger","NER","1990","8012861"
"Niger","NER","1991","8272976"
"Niger","NER","1992","8549424"
"Niger","NER","1993","8842415"
"Niger","NER","1994","9151763"
"Niger","NER","1995","9477333"
"Niger","NER","1996","9819964"
"Niger","NER","1997","10180061"
"Niger","NER","1998","10556549"
"Niger","NER","1999","10947829"
"Niger","NER","2000","11352973"
"Niger","NER","2001","11771976"
"Niger","NER","2002","12206002"
"Niger","NER","2003","12656870"
"Niger","NER","2004","13127012"
"Niger","NER","2005","13618449"
"Niger","NER","2006","14132064"
"Niger","NER","2007","14668338"
"Niger","NER","2008","15228525"
"Niger","NER","2009","15813913"
"Niger","NER","2010","16425578"
"Niger","NER","2011","17064636"
"Niger","NER","2012","17731634"
"Niger","NER","2013","18426372"
"Niger","NER","2014","19148219"
"Niger","NER","2015","19896965"
"Niger","NER","2016","20672987"
