"Country Name","Country Code","Year","Value"
"North America","NAC","1960","198624409"
"North America","NAC","1961","202007500"
"North America","NAC","1962","205198600"
"North America","NAC","1963","208253700"
"North America","NAC","1964","211262900"
"North America","NAC","1965","214031100"
"North America","NAC","1966","216659000"
"North America","NAC","1967","219176000"
"North America","NAC","1968","221503000"
"North America","NAC","1969","223759000"
"North America","NAC","1970","226431000"
"North America","NAC","1971","229361135"
"North America","NAC","1972","231943831"
"North America","NAC","1973","234332208"
"North America","NAC","1974","236681487"
"North America","NAC","1975","239235000"
"North America","NAC","1976","241606200"
"North America","NAC","1977","244088400"
"North America","NAC","1978","246674600"
"North America","NAC","1979","249385800"
"North America","NAC","1980","251872670"
"North America","NAC","1981","254421050"
"North America","NAC","1982","256921449"
"North America","NAC","1983","259303930"
"North America","NAC","1984","261583423"
"North America","NAC","1985","263922898"
"North America","NAC","1986","266394382"
"North America","NAC","1987","268896849"
"North America","NAC","1988","271452347"
"North America","NAC","1989","274256841"
"North America","NAC","1990","277473326"
"North America","NAC","1991","281211703"
"North America","NAC","1992","285092192"
"North America","NAC","1993","288811320"
"North America","NAC","1994","292297226"
"North America","NAC","1995","295691746"
"North America","NAC","1996","299126029"
"North America","NAC","1997","302704697"
"North America","NAC","1998","306162843"
"North America","NAC","1999","309600485"
"North America","NAC","2000","312993944"
"North America","NAC","2001","316113359"
"North America","NAC","2002","319050105"
"North America","NAC","2003","321847258"
"North America","NAC","2004","324864038"
"North America","NAC","2005","327892753"
"North America","NAC","2006","331014940"
"North America","NAC","2007","334184023"
"North America","NAC","2008","337405012"
"North America","NAC","2009","340465736"
"North America","NAC","2010","343418591"
"North America","NAC","2011","346070702"
"North America","NAC","2012","348813722"
"North America","NAC","2013","351425360"
"North America","NAC","2014","354173159"
"North America","NAC","2015","356810463"
"North America","NAC","2016","359479269"
