"Country Name","Country Code","Year","Value"
"Northern Mariana Islands","MNP","1960","10035"
"Northern Mariana Islands","MNP","1961","10302"
"Northern Mariana Islands","MNP","1962","10499"
"Northern Mariana Islands","MNP","1963","10667"
"Northern Mariana Islands","MNP","1964","10857"
"Northern Mariana Islands","MNP","1965","11105"
"Northern Mariana Islands","MNP","1966","11435"
"Northern Mariana Islands","MNP","1967","11823"
"Northern Mariana Islands","MNP","1968","12257"
"Northern Mariana Islands","MNP","1969","12691"
"Northern Mariana Islands","MNP","1970","13127"
"Northern Mariana Islands","MNP","1971","13569"
"Northern Mariana Islands","MNP","1972","14040"
"Northern Mariana Islands","MNP","1973","14492"
"Northern Mariana Islands","MNP","1974","14859"
"Northern Mariana Islands","MNP","1975","15117"
"Northern Mariana Islands","MNP","1976","15234"
"Northern Mariana Islands","MNP","1977","15251"
"Northern Mariana Islands","MNP","1978","15372"
"Northern Mariana Islands","MNP","1979","15862"
"Northern Mariana Islands","MNP","1980","16920"
"Northern Mariana Islands","MNP","1981","18604"
"Northern Mariana Islands","MNP","1982","20856"
"Northern Mariana Islands","MNP","1983","23503"
"Northern Mariana Islands","MNP","1984","26302"
"Northern Mariana Islands","MNP","1985","29092"
"Northern Mariana Islands","MNP","1986","31802"
"Northern Mariana Islands","MNP","1987","34480"
"Northern Mariana Islands","MNP","1988","37134"
"Northern Mariana Islands","MNP","1989","39808"
"Northern Mariana Islands","MNP","1990","42538"
"Northern Mariana Islands","MNP","1991","45249"
"Northern Mariana Islands","MNP","1992","47919"
"Northern Mariana Islands","MNP","1993","50602"
"Northern Mariana Islands","MNP","1994","53380"
"Northern Mariana Islands","MNP","1995","56278"
"Northern Mariana Islands","MNP","1996","59364"
"Northern Mariana Islands","MNP","1997","62528"
"Northern Mariana Islands","MNP","1998","65474"
"Northern Mariana Islands","MNP","1999","67755"
"Northern Mariana Islands","MNP","2000","69094"
"Northern Mariana Islands","MNP","2001","69388"
"Northern Mariana Islands","MNP","2002","68763"
"Northern Mariana Islands","MNP","2003","67422"
"Northern Mariana Islands","MNP","2004","65663"
"Northern Mariana Islands","MNP","2005","63744"
"Northern Mariana Islands","MNP","2006","61688"
"Northern Mariana Islands","MNP","2007","59513"
"Northern Mariana Islands","MNP","2008","57431"
"Northern Mariana Islands","MNP","2009","55674"
"Northern Mariana Islands","MNP","2010","54424"
"Northern Mariana Islands","MNP","2011","53786"
"Northern Mariana Islands","MNP","2012","53718"
"Northern Mariana Islands","MNP","2013","54036"
"Northern Mariana Islands","MNP","2014","54468"
"Northern Mariana Islands","MNP","2015","54816"
"Northern Mariana Islands","MNP","2016","55023"
