"Year","Value"
"1960","3581239.0"
"1961","3609800.0"
"1962","3638918.0"
"1963","3666537.0"
"1964","3694339.0"
"1965","3723168.0"
"1966","3753012.0"
"1967","3784539.0"
"1968","3816486.0"
"1969","3847707.0"
"1970","3875763.0"
"1971","3903039.0"
"1972","3933004.0"
"1973","3960612.0"
"1974","3985258.0"
"1975","4007313.0"
"1976","4026152.0"
"1977","4043205.0"
"1978","4058671.0"
"1979","4072517.0"
"1980","4085620.0"
"1981","4099702.0"
"1982","4114787.0"
"1983","4128432.0"
"1984","4140099.0"
"1985","4152516.0"
"1986","4167354.0"
"1987","4186905.0"
"1988","4209488.0"
"1989","4226901.0"
"1990","4241473.0"
"1991","4261732.0"
"1992","4286401.0"
"1993","4311991.0"
"1994","4336613.0"
"1995","4359184.0"
"1996","4381336.0"
"1997","4405157.0"
"1998","4431464.0"
"1999","4461913.0"
"2000","4490967.0"
"2001","4513751.0"
"2002","4538159.0"
"2003","4564855.0"
"2004","4591910.0"
"2005","4623291.0"
"2006","4660677.0"
"2007","4709153.0"
"2008","4768212.0"
"2009","4828726.0"
"2010","4889252.0"
"2011","4953088.0"
"2012","5018573.0"
"2013","5079623.0"
"2014","5137232.0"
"2015","5188607.0"
"2016","5232929.0"
