"Year","Value"
"1960","865809.0"
"1961","894213.0"
"1962","924220.0"
"1963","955104.0"
"1964","985873.0"
"1965","1015763.0"
"1966","1044550.0"
"1967","1072397.0"
"1968","1099420.0"
"1969","1125867.0"
"1970","1152033.0"
"1971","1177892.0"
"1972","1203419.0"
"1973","1228876.0"
"1974","1254518.0"
"1975","1280561.0"
"1976","1306937.0"
"1977","1333621.0"
"1978","1361133.0"
"1979","1390028.0"
"1980","1420671.0"
"1981","1453521.0"
"1982","1488185.0"
"1983","1523012.0"
"1984","1555767.0"
"1985","1585015.0"
"1986","1609919.0"
"1987","1631156.0"
"1988","1650642.0"
"1989","1671078.0"
"1990","1694410.0"
"1991","1721268.0"
"1992","1750900.0"
"1993","1782065.0"
"1994","1812883.0"
"1995","1841945.0"
"1996","1869030.0"
"1997","1894563.0"
"1998","1918749.0"
"1999","1941852.0"
"2000","1964221.0"
"2001","1985713.0"
"2002","2006441.0"
"2003","2027202.0"
"2004","2049012.0"
"2005","2072666.0"
"2006","2098522.0"
"2007","2126308.0"
"2008","2155439.0"
"2009","2184920.0"
"2010","2214096.0"
"2011","2242763.0"
"2012","2271298.0"
"2013","2300045.0"
"2014","2329458.0"
"2015","2358955.0"
"2016","2388875.0"
