"Year","Value"
"1960","44908293.0"
"1961","45984892.0"
"1962","47119361.0"
"1963","48309315.0"
"1964","49551904.0"
"1965","50845221.0"
"1966","52191095.0"
"1967","53590929.0"
"1968","55042397.0"
"1969","56542434.0"
"1970","58090759.0"
"1971","59687140.0"
"1972","61338261.0"
"1973","63059481.0"
"1974","64870833.0"
"1975","66787901.0"
"1976","68813220.0"
"1977","70946231.0"
"1978","73194937.0"
"1979","75567682.0"
"1980","78068144.0"
"1981","80696945.0"
"1982","83445863.0"
"1983","86297640.0"
"1984","89228949.0"
"1985","92219488.0"
"1986","95264460.0"
"1987","98357473.0"
"1988","101474835.0"
"1989","104588490.0"
"1990","107678614.0"
"1991","110730420.0"
"1992","113747135.0"
"1993","116749560.0"
"1994","119769556.0"
"1995","122829148.0"
"1996","125938339.0"
"1997","129086987.0"
"1998","132253264.0"
"1999","135405584.0"
"2000","138523285.0"
"2001","141601437.0"
"2002","144654143.0"
"2003","147703401.0"
"2004","150780300.0"
"2005","153909667.0"
"2006","157093993.0"
"2007","160332974.0"
"2008","163644603.0"
"2009","167049580.0"
"2010","170560182.0"
"2011","174184265.0"
"2012","177911533.0"
"2013","181712595.0"
"2014","185546257.0"
"2015","189380513.0"
"2016","193203476.0"
