"Year","Value"
"1960","9642.0"
"1961","9900.0"
"1962","10151.0"
"1963","10378.0"
"1964","10593.0"
"1965","10782.0"
"1966","10946.0"
"1967","11080.0"
"1968","11205.0"
"1969","11331.0"
"1970","11480.0"
"1971","11654.0"
"1972","11852.0"
"1973","12046.0"
"1974","12197.0"
"1975","12278.0"
"1976","12285.0"
"1977","12225.0"
"1978","12153.0"
"1979","12124.0"
"1980","12194.0"
"1981","12387.0"
"1982","12663.0"
"1983","13012.0"
"1984","13372.0"
"1985","13696.0"
"1986","13985.0"
"1987","14240.0"
"1988","14490.0"
"1989","14757.0"
"1990","15088.0"
"1991","15474.0"
"1992","15894.0"
"1993","16342.0"
"1994","16806.0"
"1995","17253.0"
"1996","17691.0"
"1997","18123.0"
"1998","18524.0"
"1999","18879.0"
"2000","19175.0"
"2001","19404.0"
"2002","19574.0"
"2003","19700.0"
"2004","19804.0"
"2005","19906.0"
"2006","20012.0"
"2007","20116.0"
"2008","20228.0"
"2009","20342.0"
"2010","20470.0"
"2011","20599.0"
"2012","20758.0"
"2013","20920.0"
"2014","21094.0"
"2015","21288.0"
"2016","21503.0"
