"Year","Value"
"1960","2010677.0"
"1961","2051947.0"
"1962","2094687.0"
"1963","2139303.0"
"1964","2186340.0"
"1965","2236206.0"
"1966","2289109.0"
"1967","2344977.0"
"1968","2403595.0"
"1969","2464548.0"
"1970","2527586.0"
"1971","2592628.0"
"1972","2659851.0"
"1973","2729580.0"
"1974","2802243.0"
"1975","2878156.0"
"1976","2957339.0"
"1977","3039660.0"
"1978","3125034.0"
"1979","3213360.0"
"1980","3304473.0"
"1981","3398469.0"
"1982","3495199.0"
"1983","3594004.0"
"1984","3694041.0"
"1985","3794720.0"
"1986","3895852.0"
"1987","3997702.0"
"1988","4100729.0"
"1989","4205654.0"
"1990","4313059.0"
"1991","4423007.0"
"1992","4535520.0"
"1993","4651169.0"
"1994","4770606.0"
"1995","4894276.0"
"1996","5022437.0"
"1997","5154910.0"
"1998","5291178.0"
"1999","5430479.0"
"2000","5572222.0"
"2001","5716152.0"
"2002","5862316.0"
"2003","6010724.0"
"2004","6161517.0"
"2005","6314709.0"
"2006","6470272.0"
"2007","6627922.0"
"2008","6787187.0"
"2009","6947447.0"
"2010","7108239.0"
"2011","7269348.0"
"2012","7430836.0"
"2013","7592865.0"
"2014","7755785.0"
"2015","7919825.0"
"2016","8084991.0"
