"Country Name","Country Code","Year","Value"
"Paraguay","PRY","1960","1902875"
"Paraguay","PRY","1961","1953328"
"Paraguay","PRY","1962","2005337"
"Paraguay","PRY","1963","2058915"
"Paraguay","PRY","1964","2114095"
"Paraguay","PRY","1965","2170859"
"Paraguay","PRY","1966","2229376"
"Paraguay","PRY","1967","2289582"
"Paraguay","PRY","1968","2350901"
"Paraguay","PRY","1969","2412566"
"Paraguay","PRY","1970","2474106"
"Paraguay","PRY","1971","2535359"
"Paraguay","PRY","1972","2596739"
"Paraguay","PRY","1973","2659088"
"Paraguay","PRY","1974","2723523"
"Paraguay","PRY","1975","2790962"
"Paraguay","PRY","1976","2861581"
"Paraguay","PRY","1977","2935375"
"Paraguay","PRY","1978","3012829"
"Paraguay","PRY","1979","3094482"
"Paraguay","PRY","1980","3180630"
"Paraguay","PRY","1981","3271456"
"Paraguay","PRY","1982","3366719"
"Paraguay","PRY","1983","3465793"
"Paraguay","PRY","1984","3567752"
"Paraguay","PRY","1985","3671826"
"Paraguay","PRY","1986","3777763"
"Paraguay","PRY","1987","3885436"
"Paraguay","PRY","1988","3994331"
"Paraguay","PRY","1989","4103911"
"Paraguay","PRY","1990","4213742"
"Paraguay","PRY","1991","4323410"
"Paraguay","PRY","1992","4432736"
"Paraguay","PRY","1993","4541902"
"Paraguay","PRY","1994","4651225"
"Paraguay","PRY","1995","4760850"
"Paraguay","PRY","1996","4870694"
"Paraguay","PRY","1997","4980344"
"Paraguay","PRY","1998","5089310"
"Paraguay","PRY","1999","5196937"
"Paraguay","PRY","2000","5302700"
"Paraguay","PRY","2001","5406624"
"Paraguay","PRY","2002","5508611"
"Paraguay","PRY","2003","5607950"
"Paraguay","PRY","2004","5703740"
"Paraguay","PRY","2005","5795494"
"Paraguay","PRY","2006","5882796"
"Paraguay","PRY","2007","5966159"
"Paraguay","PRY","2008","6047117"
"Paraguay","PRY","2009","6127837"
"Paraguay","PRY","2010","6209877"
"Paraguay","PRY","2011","6293783"
"Paraguay","PRY","2012","6379219"
"Paraguay","PRY","2013","6465740"
"Paraguay","PRY","2014","6552584"
"Paraguay","PRY","2015","6639119"
"Paraguay","PRY","2016","6725308"
