"Country Name","Country Code","Year","Value"
"Philippines","PHL","1960","26273025"
"Philippines","PHL","1961","27164617"
"Philippines","PHL","1962","28081231"
"Philippines","PHL","1963","29016771"
"Philippines","PHL","1964","29962876"
"Philippines","PHL","1965","30913933"
"Philippines","PHL","1966","31867563"
"Philippines","PHL","1967","32826599"
"Philippines","PHL","1968","33797042"
"Philippines","PHL","1969","34787588"
"Philippines","PHL","1970","35804729"
"Philippines","PHL","1971","36851055"
"Philippines","PHL","1972","37925400"
"Philippines","PHL","1973","39026082"
"Philippines","PHL","1974","40149961"
"Philippines","PHL","1975","41295124"
"Philippines","PHL","1976","42461193"
"Philippines","PHL","1977","43650333"
"Philippines","PHL","1978","44866273"
"Philippines","PHL","1979","46113995"
"Philippines","PHL","1980","47396968"
"Philippines","PHL","1981","48715592"
"Philippines","PHL","1982","50068493"
"Philippines","PHL","1983","51455033"
"Philippines","PHL","1984","52873974"
"Philippines","PHL","1985","54323648"
"Philippines","PHL","1986","55804072"
"Philippines","PHL","1987","57313311"
"Philippines","PHL","1988","58845205"
"Philippines","PHL","1989","60391867"
"Philippines","PHL","1990","61947348"
"Philippines","PHL","1991","63508459"
"Philippines","PHL","1992","65075486"
"Philippines","PHL","1993","66650247"
"Philippines","PHL","1994","68236230"
"Philippines","PHL","1995","69835715"
"Philippines","PHL","1996","71446107"
"Philippines","PHL","1997","73064764"
"Philippines","PHL","1998","74693695"
"Philippines","PHL","1999","76335812"
"Philippines","PHL","2000","77991569"
"Philippines","PHL","2001","79665315"
"Philippines","PHL","2002","81352060"
"Philippines","PHL","2003","83031954"
"Philippines","PHL","2004","84678493"
"Philippines","PHL","2005","86274237"
"Philippines","PHL","2006","87809419"
"Philippines","PHL","2007","89293490"
"Philippines","PHL","2008","90751864"
"Philippines","PHL","2009","92220879"
"Philippines","PHL","2010","93726624"
"Philippines","PHL","2011","95277940"
"Philippines","PHL","2012","96866642"
"Philippines","PHL","2013","98481032"
"Philippines","PHL","2014","100102249"
"Philippines","PHL","2015","101716359"
"Philippines","PHL","2016","103320222"
