"Country Name","Country Code","Year","Value"
"Poland","POL","1960","29637450"
"Poland","POL","1961","29964000"
"Poland","POL","1962","30308500"
"Poland","POL","1963","30712000"
"Poland","POL","1964","31139450"
"Poland","POL","1965","31444950"
"Poland","POL","1966","31681000"
"Poland","POL","1967","31987155"
"Poland","POL","1968","32294655"
"Poland","POL","1969","32548300"
"Poland","POL","1970","32664300"
"Poland","POL","1971","32783500"
"Poland","POL","1972","33055650"
"Poland","POL","1973","33357200"
"Poland","POL","1974","33678899"
"Poland","POL","1975","34015199"
"Poland","POL","1976","34356300"
"Poland","POL","1977","34689050"
"Poland","POL","1978","34965600"
"Poland","POL","1979","35247217"
"Poland","POL","1980","35574150"
"Poland","POL","1981","35898587"
"Poland","POL","1982","36230481"
"Poland","POL","1983","36571808"
"Poland","POL","1984","36904134"
"Poland","POL","1985","37201885"
"Poland","POL","1986","37456119"
"Poland","POL","1987","37668045"
"Poland","POL","1988","37824487"
"Poland","POL","1989","37961529"
"Poland","POL","1990","38110782"
"Poland","POL","1991","38246193"
"Poland","POL","1992","38363667"
"Poland","POL","1993","38461408"
"Poland","POL","1994","38542652"
"Poland","POL","1995","38594998"
"Poland","POL","1996","38624370"
"Poland","POL","1997","38649660"
"Poland","POL","1998","38663481"
"Poland","POL","1999","38660271"
"Poland","POL","2000","38258629"
"Poland","POL","2001","38248076"
"Poland","POL","2002","38230364"
"Poland","POL","2003","38204570"
"Poland","POL","2004","38182222"
"Poland","POL","2005","38165445"
"Poland","POL","2006","38141267"
"Poland","POL","2007","38120560"
"Poland","POL","2008","38125759"
"Poland","POL","2009","38151603"
"Poland","POL","2010","38042794"
"Poland","POL","2011","38063255"
"Poland","POL","2012","38063164"
"Poland","POL","2013","38040196"
"Poland","POL","2014","38011735"
"Poland","POL","2015","37986412"
"Poland","POL","2016","37948016"
