"Year","Value"
"1960","8857716.0"
"1961","8929316.0"
"1962","8993985.0"
"1963","9030355.0"
"1964","9035365.0"
"1965","8998595.0"
"1966","8930990.0"
"1967","8874520.0"
"1968","8836650.0"
"1969","8757705.0"
"1970","8680431.0"
"1971","8643756.0"
"1972","8630430.0"
"1973","8633100.0"
"1974","8754365.0"
"1975","9093470.0"
"1976","9355810.0"
"1977","9455675.0"
"1978","9558250.0"
"1979","9661265.0"
"1980","9766312.0"
"1981","9851362.0"
"1982","9911771.0"
"1983","9957865.0"
"1984","9996232.0"
"1985","10023613.0"
"1986","10032734.0"
"1987","10030031.0"
"1988","10019610.0"
"1989","10005000.0"
"1990","9983218.0"
"1991","9960235.0"
"1992","9952494.0"
"1993","9964675.0"
"1994","9991525.0"
"1995","10026176.0"
"1996","10063945.0"
"1997","10108977.0"
"1998","10160196.0"
"1999","10217828.0"
"2000","10289898.0"
"2001","10362722.0"
"2002","10419631.0"
"2003","10458821.0"
"2004","10483861.0"
"2005","10503330.0"
"2006","10522288.0"
"2007","10542964.0"
"2008","10558177.0"
"2009","10568247.0"
"2010","10573100.0"
"2011","10557560.0"
"2012","10514844.0"
"2013","10457295.0"
"2014","10401062.0"
"2015","10358076.0"
"2016","10324611.0"
