"Year","Value"
"1960","754705296.0"
"1961","765517069.0"
"1962","774970556.0"
"1963","784274508.0"
"1964","793405703.0"
"1965","802234753.0"
"1966","810477286.0"
"1967","818162391.0"
"1968","824881275.0"
"1969","833307280.0"
"1970","840843453.0"
"1971","848964693.0"
"1972","857032016.0"
"1973","864105636.0"
"1974","872196067.0"
"1975","879650582.0"
"1976","885529196.0"
"1977","891585019.0"
"1978","897682739.0"
"1979","904034683.0"
"1980","910110515.0"
"1981","916187214.0"
"1982","921702426.0"
"1983","926784900.0"
"1984","931567479.0"
"1985","936391539.0"
"1986","941637615.0"
"1987","946964644.0"
"1988","952508537.0"
"1989","958458726.0"
"1990","964601905.0"
"1991","970905788.0"
"1992","977731113.0"
"1993","984287542.0"
"1994","989994339.0"
"1995","995414349.0"
"1996","1000643917.0"
"1997","1005863658.0"
"1998","1010698898.0"
"1999","1015607141.0"
"2000","1020591851.0"
"2001","1025668442.0"
"2002","1030742327.0"
"2003","1035918960.0"
"2004","1041303142.0"
"2005","1046610825.0"
"2006","1052236679.0"
"2007","1058174512.0"
"2008","1064603305.0"
"2009","1070107590.0"
"2010","1075140985.0"
"2011","1078083259.0"
"2012","1082722218.0"
"2013","1087560614.0"
"2014","1092601669.0"
"2015","1097570905.0"
"2016","1102730983.0"
