"Country Name","Country Code","Year","Value"
"Pre-demographic dividend","PRE","1960","188636191"
"Pre-demographic dividend","PRE","1961","192957526"
"Pre-demographic dividend","PRE","1962","197466057"
"Pre-demographic dividend","PRE","1963","202169074"
"Pre-demographic dividend","PRE","1964","207073952"
"Pre-demographic dividend","PRE","1965","212187233"
"Pre-demographic dividend","PRE","1966","217522775"
"Pre-demographic dividend","PRE","1967","223086567"
"Pre-demographic dividend","PRE","1968","228868113"
"Pre-demographic dividend","PRE","1969","234850584"
"Pre-demographic dividend","PRE","1970","241027706"
"Pre-demographic dividend","PRE","1971","247376381"
"Pre-demographic dividend","PRE","1972","253914730"
"Pre-demographic dividend","PRE","1973","260725221"
"Pre-demographic dividend","PRE","1974","267918888"
"Pre-demographic dividend","PRE","1975","275565267"
"Pre-demographic dividend","PRE","1976","283715621"
"Pre-demographic dividend","PRE","1977","292321446"
"Pre-demographic dividend","PRE","1978","301230680"
"Pre-demographic dividend","PRE","1979","310230861"
"Pre-demographic dividend","PRE","1980","319174900"
"Pre-demographic dividend","PRE","1981","328020973"
"Pre-demographic dividend","PRE","1982","336834728"
"Pre-demographic dividend","PRE","1983","345711225"
"Pre-demographic dividend","PRE","1984","354794146"
"Pre-demographic dividend","PRE","1985","364199513"
"Pre-demographic dividend","PRE","1986","373930490"
"Pre-demographic dividend","PRE","1987","383984828"
"Pre-demographic dividend","PRE","1988","394465713"
"Pre-demographic dividend","PRE","1989","405497636"
"Pre-demographic dividend","PRE","1990","417158756"
"Pre-demographic dividend","PRE","1991","429531376"
"Pre-demographic dividend","PRE","1992","442573477"
"Pre-demographic dividend","PRE","1993","456086696"
"Pre-demographic dividend","PRE","1994","469790790"
"Pre-demographic dividend","PRE","1995","483495980"
"Pre-demographic dividend","PRE","1996","497126039"
"Pre-demographic dividend","PRE","1997","510777895"
"Pre-demographic dividend","PRE","1998","524647448"
"Pre-demographic dividend","PRE","1999","539018066"
"Pre-demographic dividend","PRE","2000","554097477"
"Pre-demographic dividend","PRE","2001","569959700"
"Pre-demographic dividend","PRE","2002","586553190"
"Pre-demographic dividend","PRE","2003","603809871"
"Pre-demographic dividend","PRE","2004","621611464"
"Pre-demographic dividend","PRE","2005","639876871"
"Pre-demographic dividend","PRE","2006","658586521"
"Pre-demographic dividend","PRE","2007","677788806"
"Pre-demographic dividend","PRE","2008","697549138"
"Pre-demographic dividend","PRE","2009","717959651"
"Pre-demographic dividend","PRE","2010","739082260"
"Pre-demographic dividend","PRE","2011","760942116"
"Pre-demographic dividend","PRE","2012","783505835"
"Pre-demographic dividend","PRE","2013","806705375"
"Pre-demographic dividend","PRE","2014","830442736"
"Pre-demographic dividend","PRE","2015","854646007"
"Pre-demographic dividend","PRE","2016","879292453"
