"Year","Value"
"1960","2358000.0"
"1961","2399722.0"
"1962","2450322.0"
"1963","2504530.0"
"1964","2554066.0"
"1965","2594000.0"
"1966","2624995.0"
"1967","2645674.0"
"1968","2662064.0"
"1969","2684150.0"
"1970","2718000.0"
"1971","2762190.0"
"1972","2817256.0"
"1973","2878786.0"
"1974","2939299.0"
"1975","2994000.0"
"1976","3043854.0"
"1977","3088690.0"
"1978","3129421.0"
"1979","3168088.0"
"1980","3206000.0"
"1981","3242552.0"
"1982","3277453.0"
"1983","3311138.0"
"1984","3344190.0"
"1985","3377000.0"
"1986","3409554.0"
"1987","3441850.0"
"1988","3473898.0"
"1989","3505650.0"
"1990","3537000.0"
"1991","3562110.0"
"1992","3585176.0"
"1993","3615497.0"
"1994","3649237.0"
"1995","3683103.0"
"1996","3724655.0"
"1997","3759430.0"
"1998","3781101.0"
"1999","3800081.0"
"2000","3810605.0"
"2001","3818774.0"
"2002","3823701.0"
"2003","3826095.0"
"2004","3826878.0"
"2005","3821362.0"
"2006","3805214.0"
"2007","3782995.0"
"2008","3760866.0"
"2009","3740410.0"
"2010","3721525.0"
"2011","3678732.0"
"2012","3634488.0"
"2013","3593077.0"
"2014","3534874.0"
"2015","3473181.0"
"2016","3411307.0"
