"Country Name","Country Code","Year","Value"
"Qatar","QAT","1960","47384"
"Qatar","QAT","1961","51421"
"Qatar","QAT","1962","56263"
"Qatar","QAT","1963","61717"
"Qatar","QAT","1964","67567"
"Qatar","QAT","1965","73633"
"Qatar","QAT","1966","79844"
"Qatar","QAT","1967","86295"
"Qatar","QAT","1968","93201"
"Qatar","QAT","1969","100874"
"Qatar","QAT","1970","109514"
"Qatar","QAT","1971","119424"
"Qatar","QAT","1972","130534"
"Qatar","QAT","1973","142241"
"Qatar","QAT","1974","153704"
"Qatar","QAT","1975","164413"
"Qatar","QAT","1976","173836"
"Qatar","QAT","1977","182443"
"Qatar","QAT","1978","192093"
"Qatar","QAT","1979","205313"
"Qatar","QAT","1980","223775"
"Qatar","QAT","1981","248144"
"Qatar","QAT","1982","277396"
"Qatar","QAT","1983","309479"
"Qatar","QAT","1984","341455"
"Qatar","QAT","1985","371081"
"Qatar","QAT","1986","397932"
"Qatar","QAT","1987","422341"
"Qatar","QAT","1988","443794"
"Qatar","QAT","1989","461870"
"Qatar","QAT","1990","476445"
"Qatar","QAT","1991","487491"
"Qatar","QAT","1992","495517"
"Qatar","QAT","1993","501566"
"Qatar","QAT","1994","507095"
"Qatar","QAT","1995","513455"
"Qatar","QAT","1996","522304"
"Qatar","QAT","1997","534608"
"Qatar","QAT","1998","550430"
"Qatar","QAT","1999","569447"
"Qatar","QAT","2000","592267"
"Qatar","QAT","2001","616886"
"Qatar","QAT","2002","645659"
"Qatar","QAT","2003","688586"
"Qatar","QAT","2004","758855"
"Qatar","QAT","2005","864863"
"Qatar","QAT","2006","1010382"
"Qatar","QAT","2007","1189633"
"Qatar","QAT","2008","1389342"
"Qatar","QAT","2009","1590780"
"Qatar","QAT","2010","1779676"
"Qatar","QAT","2011","1952054"
"Qatar","QAT","2012","2109568"
"Qatar","QAT","2013","2250473"
"Qatar","QAT","2014","2374419"
"Qatar","QAT","2015","2481539"
"Qatar","QAT","2016","2569804"
