"Year","Value"
"1960","18406905.0"
"1961","18555250.0"
"1962","18676550.0"
"1963","18797850.0"
"1964","18919126.0"
"1965","19031576.0"
"1966","19215450.0"
"1967","19534242.0"
"1968","19799831.0"
"1969","20009141.0"
"1970","20250398.0"
"1971","20461567.0"
"1972","20657957.0"
"1973","20835681.0"
"1974","21029429.0"
"1975","21293583.0"
"1976","21551634.0"
"1977","21756096.0"
"1978","21951464.0"
"1979","22090488.0"
"1980","22242653.0"
"1981","22415169.0"
"1982","22515389.0"
"1983","22588790.0"
"1984","22655940.0"
"1985","22755427.0"
"1986","22859269.0"
"1987","22949430.0"
"1988","23057662.0"
"1989","23161458.0"
"1990","23201835.0"
"1991","23001155.0"
"1992","22794284.0"
"1993","22763280.0"
"1994","22730211.0"
"1995","22684270.0"
"1996","22619004.0"
"1997","22553978.0"
"1998","22507344.0"
"1999","22472040.0"
"2000","22442971.0"
"2001","22131970.0"
"2002","21730496.0"
"2003","21574326.0"
"2004","21451748.0"
"2005","21319685.0"
"2006","21193760.0"
"2007","20882982.0"
"2008","20537875.0"
"2009","20367487.0"
"2010","20246871.0"
"2011","20147528.0"
"2012","20058035.0"
"2013","19983693.0"
"2014","19908979.0"
"2015","19815481.0"
"2016","19705301.0"
