"Year","Value"
"1960","119897000.0"
"1961","121236000.0"
"1962","122591000.0"
"1963","123960000.0"
"1964","125345000.0"
"1965","126745000.0"
"1966","127468000.0"
"1967","128196000.0"
"1968","128928000.0"
"1969","129664000.0"
"1970","130404000.0"
"1971","131155000.0"
"1972","131909000.0"
"1973","132669000.0"
"1974","133432000.0"
"1975","134200000.0"
"1976","135147000.0"
"1977","136100000.0"
"1978","137060000.0"
"1979","138027000.0"
"1980","139010000.0"
"1981","139941000.0"
"1982","140823000.0"
"1983","141668000.0"
"1984","142745000.0"
"1985","143858000.0"
"1986","144894000.0"
"1987","145908000.0"
"1988","146857000.0"
"1989","147721000.0"
"1990","148292000.0"
"1991","148624000.0"
"1992","148689000.0"
"1993","148520000.0"
"1994","148336000.0"
"1995","148375726.0"
"1996","148160042.0"
"1997","147915307.0"
"1998","147670692.0"
"1999","147214392.0"
"2000","146596557.0"
"2001","145976083.0"
"2002","145306046.0"
"2003","144648257.0"
"2004","144067054.0"
"2005","143518523.0"
"2006","143049528.0"
"2007","142805088.0"
"2008","142742350.0"
"2009","142785342.0"
"2010","142849449.0"
"2011","142960868.0"
"2012","143201676.0"
"2013","143506911.0"
"2014","143819666.0"
"2015","144096870.0"
"2016","144342396.0"
