"Year","Value"
"1960","2933428.0"
"1961","2996096.0"
"1962","3050604.0"
"1963","3102972.0"
"1964","3161724.0"
"1965","3232934.0"
"1966","3319082.0"
"1967","3418317.0"
"1968","3527263.0"
"1969","3640591.0"
"1970","3754541.0"
"1971","3868337.0"
"1972","3983700.0"
"1973","4102321.0"
"1974","4226799.0"
"1975","4359092.0"
"1976","4499509.0"
"1977","4647615.0"
"1978","4803725.0"
"1979","4968074.0"
"1980","5140716.0"
"1981","5315032.0"
"1982","5489322.0"
"1983","5673614.0"
"1984","5881906.0"
"1985","6120107.0"
"1986","6407672.0"
"1987","6732131.0"
"1988","7030179.0"
"1989","7216028.0"
"1990","7235798.0"
"1991","7051759.0"
"1992","6701851.0"
"1993","6299909.0"
"1994","6005095.0"
"1995","5928078.0"
"1996","6115168.0"
"1997","6522382.0"
"1998","7059813.0"
"1999","7593239.0"
"2000","8025703.0"
"2001","8329406.0"
"2002","8536205.0"
"2003","8680346.0"
"2004","8818438.0"
"2005","8991735.0"
"2006","9206580.0"
"2007","9447402.0"
"2008","9708169.0"
"2009","9977446.0"
"2010","10246842.0"
"2011","10516071.0"
"2012","10788853.0"
"2013","11065151.0"
"2014","11345357.0"
"2015","11629553.0"
"2016","11917508.0"
