"Country Name","Country Code","Year","Value"
"Sao Tome and Principe","STP","1960","64253"
"Sao Tome and Principe","STP","1961","64551"
"Sao Tome and Principe","STP","1962","64432"
"Sao Tome and Principe","STP","1963","64177"
"Sao Tome and Principe","STP","1964","64212"
"Sao Tome and Principe","STP","1965","64796"
"Sao Tome and Principe","STP","1966","66063"
"Sao Tome and Principe","STP","1967","67873"
"Sao Tome and Principe","STP","1968","70046"
"Sao Tome and Principe","STP","1969","72241"
"Sao Tome and Principe","STP","1970","74253"
"Sao Tome and Principe","STP","1971","75988"
"Sao Tome and Principe","STP","1972","77537"
"Sao Tome and Principe","STP","1973","79022"
"Sao Tome and Principe","STP","1974","80670"
"Sao Tome and Principe","STP","1975","82607"
"Sao Tome and Principe","STP","1976","84885"
"Sao Tome and Principe","STP","1977","87434"
"Sao Tome and Principe","STP","1978","90089"
"Sao Tome and Principe","STP","1979","92649"
"Sao Tome and Principe","STP","1980","94949"
"Sao Tome and Principe","STP","1981","96950"
"Sao Tome and Principe","STP","1982","98706"
"Sao Tome and Principe","STP","1983","100318"
"Sao Tome and Principe","STP","1984","101915"
"Sao Tome and Principe","STP","1985","103634"
"Sao Tome and Principe","STP","1986","105474"
"Sao Tome and Principe","STP","1987","107415"
"Sao Tome and Principe","STP","1988","109470"
"Sao Tome and Principe","STP","1989","111627"
"Sao Tome and Principe","STP","1990","113893"
"Sao Tome and Principe","STP","1991","116294"
"Sao Tome and Principe","STP","1992","118816"
"Sao Tome and Principe","STP","1993","121407"
"Sao Tome and Principe","STP","1994","123973"
"Sao Tome and Principe","STP","1995","126454"
"Sao Tome and Principe","STP","1996","128821"
"Sao Tome and Principe","STP","1997","131107"
"Sao Tome and Principe","STP","1998","133418"
"Sao Tome and Principe","STP","1999","135886"
"Sao Tome and Principe","STP","2000","138606"
"Sao Tome and Principe","STP","2001","141622"
"Sao Tome and Principe","STP","2002","144889"
"Sao Tome and Principe","STP","2003","148372"
"Sao Tome and Principe","STP","2004","151969"
"Sao Tome and Principe","STP","2005","155630"
"Sao Tome and Principe","STP","2006","159328"
"Sao Tome and Principe","STP","2007","163101"
"Sao Tome and Principe","STP","2008","166913"
"Sao Tome and Principe","STP","2009","170813"
"Sao Tome and Principe","STP","2010","174776"
"Sao Tome and Principe","STP","2011","178800"
"Sao Tome and Principe","STP","2012","182889"
"Sao Tome and Principe","STP","2013","187045"
"Sao Tome and Principe","STP","2014","191266"
"Sao Tome and Principe","STP","2015","195553"
"Sao Tome and Principe","STP","2016","199910"
