"Country Name","Country Code","Year","Value"
"Serbia","SRB","1990","7586000"
"Serbia","SRB","1991","7595636"
"Serbia","SRB","1992","7646424"
"Serbia","SRB","1993","7699307"
"Serbia","SRB","1994","7734639"
"Serbia","SRB","1995","7625357"
"Serbia","SRB","1996","7617794"
"Serbia","SRB","1997","7596501"
"Serbia","SRB","1998","7567745"
"Serbia","SRB","1999","7540401"
"Serbia","SRB","2000","7516346"
"Serbia","SRB","2001","7503433"
"Serbia","SRB","2002","7496522"
"Serbia","SRB","2003","7480591"
"Serbia","SRB","2004","7463157"
"Serbia","SRB","2005","7440769"
"Serbia","SRB","2006","7411569"
"Serbia","SRB","2007","7381579"
"Serbia","SRB","2008","7350222"
"Serbia","SRB","2009","7320807"
"Serbia","SRB","2010","7291436"
"Serbia","SRB","2011","7234099"
"Serbia","SRB","2012","7199077"
"Serbia","SRB","2013","7164132"
"Serbia","SRB","2014","7130576"
"Serbia","SRB","2015","7095383"
"Serbia","SRB","2016","7057412"
