"Country Name","Country Code","Year","Value"
"Sierra Leone","SLE","1960","2297110"
"Sierra Leone","SLE","1961","2329204"
"Sierra Leone","SLE","1962","2363013"
"Sierra Leone","SLE","1963","2398414"
"Sierra Leone","SLE","1964","2435204"
"Sierra Leone","SLE","1965","2473294"
"Sierra Leone","SLE","1966","2512652"
"Sierra Leone","SLE","1967","2553529"
"Sierra Leone","SLE","1968","2596568"
"Sierra Leone","SLE","1969","2642608"
"Sierra Leone","SLE","1970","2692259"
"Sierra Leone","SLE","1971","2745779"
"Sierra Leone","SLE","1972","2803031"
"Sierra Leone","SLE","1973","2863739"
"Sierra Leone","SLE","1974","2927468"
"Sierra Leone","SLE","1975","2993876"
"Sierra Leone","SLE","1976","3062956"
"Sierra Leone","SLE","1977","3134800"
"Sierra Leone","SLE","1978","3209263"
"Sierra Leone","SLE","1979","3286179"
"Sierra Leone","SLE","1980","3365441"
"Sierra Leone","SLE","1981","3445277"
"Sierra Leone","SLE","1982","3525399"
"Sierra Leone","SLE","1983","3608751"
"Sierra Leone","SLE","1984","3699467"
"Sierra Leone","SLE","1985","3799550"
"Sierra Leone","SLE","1986","3912438"
"Sierra Leone","SLE","1987","4034668"
"Sierra Leone","SLE","1988","4152984"
"Sierra Leone","SLE","1989","4249468"
"Sierra Leone","SLE","1990","4312246"
"Sierra Leone","SLE","1991","4337239"
"Sierra Leone","SLE","1992","4331332"
"Sierra Leone","SLE","1993","4307299"
"Sierra Leone","SLE","1994","4283621"
"Sierra Leone","SLE","1995","4274819"
"Sierra Leone","SLE","1996","4282350"
"Sierra Leone","SLE","1997","4305455"
"Sierra Leone","SLE","1998","4353646"
"Sierra Leone","SLE","1999","4437803"
"Sierra Leone","SLE","2000","4564297"
"Sierra Leone","SLE","2001","4739147"
"Sierra Leone","SLE","2002","4957216"
"Sierra Leone","SLE","2003","5199549"
"Sierra Leone","SLE","2004","5439695"
"Sierra Leone","SLE","2005","5658379"
"Sierra Leone","SLE","2006","5848692"
"Sierra Leone","SLE","2007","6015417"
"Sierra Leone","SLE","2008","6165372"
"Sierra Leone","SLE","2009","6310260"
"Sierra Leone","SLE","2010","6458720"
"Sierra Leone","SLE","2011","6611692"
"Sierra Leone","SLE","2012","6766103"
"Sierra Leone","SLE","2013","6922079"
"Sierra Leone","SLE","2014","7079162"
"Sierra Leone","SLE","2015","7237025"
"Sierra Leone","SLE","2016","7396190"
