"Country Name","Country Code","Year","Value"
"Singapore","SGP","1960","1646400"
"Singapore","SGP","1961","1702400"
"Singapore","SGP","1962","1750200"
"Singapore","SGP","1963","1795000"
"Singapore","SGP","1964","1841600"
"Singapore","SGP","1965","1886900"
"Singapore","SGP","1966","1934400"
"Singapore","SGP","1967","1977600"
"Singapore","SGP","1968","2012000"
"Singapore","SGP","1969","2042500"
"Singapore","SGP","1970","2074500"
"Singapore","SGP","1971","2112900"
"Singapore","SGP","1972","2152400"
"Singapore","SGP","1973","2193000"
"Singapore","SGP","1974","2229800"
"Singapore","SGP","1975","2262600"
"Singapore","SGP","1976","2293300"
"Singapore","SGP","1977","2325300"
"Singapore","SGP","1978","2353600"
"Singapore","SGP","1979","2383500"
"Singapore","SGP","1980","2413945"
"Singapore","SGP","1981","2532835"
"Singapore","SGP","1982","2646466"
"Singapore","SGP","1983","2681061"
"Singapore","SGP","1984","2732221"
"Singapore","SGP","1985","2735957"
"Singapore","SGP","1986","2733373"
"Singapore","SGP","1987","2774789"
"Singapore","SGP","1988","2846108"
"Singapore","SGP","1989","2930901"
"Singapore","SGP","1990","3047132"
"Singapore","SGP","1991","3135083"
"Singapore","SGP","1992","3230698"
"Singapore","SGP","1993","3313471"
"Singapore","SGP","1994","3419048"
"Singapore","SGP","1995","3524506"
"Singapore","SGP","1996","3670704"
"Singapore","SGP","1997","3796038"
"Singapore","SGP","1998","3927213"
"Singapore","SGP","1999","3958723"
"Singapore","SGP","2000","4027887"
"Singapore","SGP","2001","4138012"
"Singapore","SGP","2002","4175950"
"Singapore","SGP","2003","4114826"
"Singapore","SGP","2004","4166664"
"Singapore","SGP","2005","4265762"
"Singapore","SGP","2006","4401365"
"Singapore","SGP","2007","4588599"
"Singapore","SGP","2008","4839396"
"Singapore","SGP","2009","4987573"
"Singapore","SGP","2010","5076732"
"Singapore","SGP","2011","5183688"
"Singapore","SGP","2012","5312437"
"Singapore","SGP","2013","5399162"
"Singapore","SGP","2014","5469724"
"Singapore","SGP","2015","5535002"
"Singapore","SGP","2016","5607283"
