"Year","Value"
"1960","4068095.0"
"1961","4191667.0"
"1962","4238188.0"
"1963","4282017.0"
"1964","4327341.0"
"1965","4370983.0"
"1966","4411666.0"
"1967","4449367.0"
"1968","4483915.0"
"1969","4518607.0"
"1970","4538223.0"
"1971","4557449.0"
"1972","4596622.0"
"1973","4641445.0"
"1974","4689623.0"
"1975","4739105.0"
"1976","4789507.0"
"1977","4840501.0"
"1978","4890125.0"
"1979","4938973.0"
"1980","4979815.0"
"1981","5016105.0"
"1982","5055099.0"
"1983","5091971.0"
"1984","5127097.0"
"1985","5161768.0"
"1986","5193838.0"
"1987","5222840.0"
"1988","5250596.0"
"1989","5275942.0"
"1990","5299187.0"
"1991","5303294.0"
"1992","5305016.0"
"1993","5325305.0"
"1994","5346331.0"
"1995","5361999.0"
"1996","5373361.0"
"1997","5383291.0"
"1998","5390516.0"
"1999","5396020.0"
"2000","5388720.0"
"2001","5378867.0"
"2002","5376912.0"
"2003","5373374.0"
"2004","5372280.0"
"2005","5372807.0"
"2006","5373054.0"
"2007","5374622.0"
"2008","5379233.0"
"2009","5386406.0"
"2010","5391428.0"
"2011","5398384.0"
"2012","5407579.0"
"2013","5413393.0"
"2014","5418649.0"
"2015","5423801.0"
"2016","5428704.0"
