"Year","Value"
"1960","1584720.0"
"1961","1594131.0"
"1962","1603649.0"
"1963","1616971.0"
"1964","1632114.0"
"1965","1649160.0"
"1966","1669905.0"
"1967","1689528.0"
"1968","1704546.0"
"1969","1713874.0"
"1970","1724891.0"
"1971","1738335.0"
"1972","1752233.0"
"1973","1766697.0"
"1974","1776132.0"
"1975","1793581.0"
"1976","1820249.0"
"1977","1842377.0"
"1978","1862548.0"
"1979","1882599.0"
"1980","1901315.0"
"1981","1906531.0"
"1982","1910334.0"
"1983","1922321.0"
"1984","1932154.0"
"1985","1941641.0"
"1986","1965964.0"
"1987","1989776.0"
"1988","1995196.0"
"1989","1996351.0"
"1990","1998161.0"
"1991","1999429.0"
"1992","1996498.0"
"1993","1991746.0"
"1994","1989443.0"
"1995","1989872.0"
"1996","1988628.0"
"1997","1985956.0"
"1998","1981629.0"
"1999","1983045.0"
"2000","1988925.0"
"2001","1992060.0"
"2002","1994530.0"
"2003","1995733.0"
"2004","1997012.0"
"2005","2000474.0"
"2006","2006868.0"
"2007","2018122.0"
"2008","2021316.0"
"2009","2039669.0"
"2010","2048583.0"
"2011","2052843.0"
"2012","2057159.0"
"2013","2059953.0"
"2014","2061980.0"
"2015","2063531.0"
"2016","2064845.0"
