"Country Name","Country Code","Year","Value"
"Small states","SST","1960","14260440"
"Small states","SST","1961","14538216"
"Small states","SST","1962","14821269"
"Small states","SST","1963","15107656"
"Small states","SST","1964","15397706"
"Small states","SST","1965","15688246"
"Small states","SST","1966","15976548"
"Small states","SST","1967","16263696"
"Small states","SST","1968","16556005"
"Small states","SST","1969","16853977"
"Small states","SST","1970","17159587"
"Small states","SST","1971","17476363"
"Small states","SST","1972","17800127"
"Small states","SST","1973","18127043"
"Small states","SST","1974","18456078"
"Small states","SST","1975","18789044"
"Small states","SST","1976","19120339"
"Small states","SST","1977","19453893"
"Small states","SST","1978","19794781"
"Small states","SST","1979","20157724"
"Small states","SST","1980","20547258"
"Small states","SST","1981","20963864"
"Small states","SST","1982","21407908"
"Small states","SST","1983","21865553"
"Small states","SST","1984","22331262"
"Small states","SST","1985","22806175"
"Small states","SST","1986","23285887"
"Small states","SST","1987","23770482"
"Small states","SST","1988","24251662"
"Small states","SST","1989","24726228"
"Small states","SST","1990","25181708"
"Small states","SST","1991","25639628"
"Small states","SST","1992","26063995"
"Small states","SST","1993","26471005"
"Small states","SST","1994","26877568"
"Small states","SST","1995","27285017"
"Small states","SST","1996","27694295"
"Small states","SST","1997","28107325"
"Small states","SST","1998","28529953"
"Small states","SST","1999","28981585"
"Small states","SST","2000","29439900"
"Small states","SST","2001","29892023"
"Small states","SST","2002","30354957"
"Small states","SST","2003","30840609"
"Small states","SST","2004","31367482"
"Small states","SST","2005","31949551"
"Small states","SST","2006","32592554"
"Small states","SST","2007","33291250"
"Small states","SST","2008","34023435"
"Small states","SST","2009","34745372"
"Small states","SST","2010","35467734"
"Small states","SST","2011","36173803"
"Small states","SST","2012","36873246"
"Small states","SST","2013","37565022"
"Small states","SST","2014","38251715"
"Small states","SST","2015","38937987"
"Small states","SST","2016","39618156"
