"Country Name","Country Code","Year","Value"
"Solomon Islands","SLB","1960","117866"
"Solomon Islands","SLB","1961","121396"
"Solomon Islands","SLB","1962","125064"
"Solomon Islands","SLB","1963","128866"
"Solomon Islands","SLB","1964","132782"
"Solomon Islands","SLB","1965","136847"
"Solomon Islands","SLB","1966","141026"
"Solomon Islands","SLB","1967","145351"
"Solomon Islands","SLB","1968","149921"
"Solomon Islands","SLB","1969","154875"
"Solomon Islands","SLB","1970","160290"
"Solomon Islands","SLB","1971","166212"
"Solomon Islands","SLB","1972","172598"
"Solomon Islands","SLB","1973","179349"
"Solomon Islands","SLB","1974","186332"
"Solomon Islands","SLB","1975","193445"
"Solomon Islands","SLB","1976","200640"
"Solomon Islands","SLB","1977","207937"
"Solomon Islands","SLB","1978","215347"
"Solomon Islands","SLB","1979","222897"
"Solomon Islands","SLB","1980","230607"
"Solomon Islands","SLB","1981","238479"
"Solomon Islands","SLB","1982","246493"
"Solomon Islands","SLB","1983","254596"
"Solomon Islands","SLB","1984","262709"
"Solomon Islands","SLB","1985","270801"
"Solomon Islands","SLB","1986","278838"
"Solomon Islands","SLB","1987","286863"
"Solomon Islands","SLB","1988","294964"
"Solomon Islands","SLB","1989","303253"
"Solomon Islands","SLB","1990","311840"
"Solomon Islands","SLB","1991","320753"
"Solomon Islands","SLB","1992","329953"
"Solomon Islands","SLB","1993","339456"
"Solomon Islands","SLB","1994","349225"
"Solomon Islands","SLB","1995","359225"
"Solomon Islands","SLB","1996","369469"
"Solomon Islands","SLB","1997","379947"
"Solomon Islands","SLB","1998","390643"
"Solomon Islands","SLB","1999","401538"
"Solomon Islands","SLB","2000","412609"
"Solomon Islands","SLB","2001","423853"
"Solomon Islands","SLB","2002","435262"
"Solomon Islands","SLB","2003","446769"
"Solomon Islands","SLB","2004","458324"
"Solomon Islands","SLB","2005","469885"
"Solomon Islands","SLB","2006","481422"
"Solomon Islands","SLB","2007","492940"
"Solomon Islands","SLB","2008","504477"
"Solomon Islands","SLB","2009","516079"
"Solomon Islands","SLB","2010","527790"
"Solomon Islands","SLB","2011","539614"
"Solomon Islands","SLB","2012","551531"
"Solomon Islands","SLB","2013","563513"
"Solomon Islands","SLB","2014","575504"
"Solomon Islands","SLB","2015","587482"
"Solomon Islands","SLB","2016","599419"
