"Country Name","Country Code","Year","Value"
"South Africa","ZAF","1960","17396367"
"South Africa","ZAF","1961","17850045"
"South Africa","ZAF","1962","18322335"
"South Africa","ZAF","1963","18809939"
"South Africa","ZAF","1964","19308166"
"South Africa","ZAF","1965","19813947"
"South Africa","ZAF","1966","20325230"
"South Africa","ZAF","1967","20843785"
"South Africa","ZAF","1968","21374931"
"South Africa","ZAF","1969","21926165"
"South Africa","ZAF","1970","22502502"
"South Africa","ZAF","1971","23106806"
"South Africa","ZAF","1972","23736489"
"South Africa","ZAF","1973","24384538"
"South Africa","ZAF","1974","25040940"
"South Africa","ZAF","1975","25698856"
"South Africa","ZAF","1976","26354140"
"South Africa","ZAF","1977","27009755"
"South Africa","ZAF","1978","27674446"
"South Africa","ZAF","1979","28360820"
"South Africa","ZAF","1980","29077143"
"South Africa","ZAF","1981","29828874"
"South Africa","ZAF","1982","30611206"
"South Africa","ZAF","1983","31409913"
"South Africa","ZAF","1984","32204952"
"South Africa","ZAF","1985","32983013"
"South Africa","ZAF","1986","33733547"
"South Africa","ZAF","1987","34463077"
"South Africa","ZAF","1988","35195598"
"South Africa","ZAF","1989","35965131"
"South Africa","ZAF","1990","36793490"
"South Africa","ZAF","1991","37692367"
"South Africa","ZAF","1992","38646788"
"South Africa","ZAF","1993","39619539"
"South Africa","ZAF","1994","40558495"
"South Africa","ZAF","1995","41426810"
"South Africa","ZAF","1996","42210216"
"South Africa","ZAF","1997","42921506"
"South Africa","ZAF","1998","43584030"
"South Africa","ZAF","1999","44233730"
"South Africa","ZAF","2000","44896856"
"South Africa","ZAF","2001","45312937"
"South Africa","ZAF","2002","45855482.8828724"
"South Africa","ZAF","2003","46418193.8989267"
"South Africa","ZAF","2004","47001700.9913724"
"South Africa","ZAF","2005","47606670.2439658"
"South Africa","ZAF","2006","48233804.4849866"
"South Africa","ZAF","2007","48883844.9909288"
"South Africa","ZAF","2008","49557573.2955342"
"South Africa","ZAF","2009","50255813.1102008"
"South Africa","ZAF","2010","50979432.3622277"
"South Africa","ZAF","2011","51729345.3578159"
"South Africa","ZAF","2012","52506515.0772335"
"South Africa","ZAF","2013","53311955.6100823"
"South Africa","ZAF","2014","54146734.739162"
"South Africa","ZAF","2015","55011976.6820294"
"South Africa","ZAF","2016","55908865"
