"Country Name","Country Code","Year","Value"
"South Asia (IDA & IBRD)","TSA","1960","571857185"
"South Asia (IDA & IBRD)","TSA","1961","583950448"
"South Asia (IDA & IBRD)","TSA","1962","596504751"
"South Asia (IDA & IBRD)","TSA","1963","609376285"
"South Asia (IDA & IBRD)","TSA","1964","622875636"
"South Asia (IDA & IBRD)","TSA","1965","636754992"
"South Asia (IDA & IBRD)","TSA","1966","651094669"
"South Asia (IDA & IBRD)","TSA","1967","665871993"
"South Asia (IDA & IBRD)","TSA","1968","681109271"
"South Asia (IDA & IBRD)","TSA","1969","696734230"
"South Asia (IDA & IBRD)","TSA","1970","712769163"
"South Asia (IDA & IBRD)","TSA","1971","729115720"
"South Asia (IDA & IBRD)","TSA","1972","745871099"
"South Asia (IDA & IBRD)","TSA","1973","763149474"
"South Asia (IDA & IBRD)","TSA","1974","780922591"
"South Asia (IDA & IBRD)","TSA","1975","799294145"
"South Asia (IDA & IBRD)","TSA","1976","818264619"
"South Asia (IDA & IBRD)","TSA","1977","837811015"
"South Asia (IDA & IBRD)","TSA","1978","857934480"
"South Asia (IDA & IBRD)","TSA","1979","878616424"
"South Asia (IDA & IBRD)","TSA","1980","899787611"
"South Asia (IDA & IBRD)","TSA","1981","921270524"
"South Asia (IDA & IBRD)","TSA","1982","943375098"
"South Asia (IDA & IBRD)","TSA","1983","965905841"
"South Asia (IDA & IBRD)","TSA","1984","988820543"
"South Asia (IDA & IBRD)","TSA","1985","1012080845"
"South Asia (IDA & IBRD)","TSA","1986","1035652813"
"South Asia (IDA & IBRD)","TSA","1987","1059520266"
"South Asia (IDA & IBRD)","TSA","1988","1083674191"
"South Asia (IDA & IBRD)","TSA","1989","1108116731"
"South Asia (IDA & IBRD)","TSA","1990","1132832536"
"South Asia (IDA & IBRD)","TSA","1991","1157821722"
"South Asia (IDA & IBRD)","TSA","1992","1183034707"
"South Asia (IDA & IBRD)","TSA","1993","1208411907"
"South Asia (IDA & IBRD)","TSA","1994","1233869424"
"South Asia (IDA & IBRD)","TSA","1995","1259358616"
"South Asia (IDA & IBRD)","TSA","1996","1284818746"
"South Asia (IDA & IBRD)","TSA","1997","1310234107"
"South Asia (IDA & IBRD)","TSA","1998","1335633730"
"South Asia (IDA & IBRD)","TSA","1999","1361053702"
"South Asia (IDA & IBRD)","TSA","2000","1386504523"
"South Asia (IDA & IBRD)","TSA","2001","1411993292"
"South Asia (IDA & IBRD)","TSA","2002","1437450586"
"South Asia (IDA & IBRD)","TSA","2003","1462776158"
"South Asia (IDA & IBRD)","TSA","2004","1487832276"
"South Asia (IDA & IBRD)","TSA","2005","1512521166"
"South Asia (IDA & IBRD)","TSA","2006","1536799012"
"South Asia (IDA & IBRD)","TSA","2007","1560689001"
"South Asia (IDA & IBRD)","TSA","2008","1584247163"
"South Asia (IDA & IBRD)","TSA","2009","1607562312"
"South Asia (IDA & IBRD)","TSA","2010","1630729920"
"South Asia (IDA & IBRD)","TSA","2011","1653756466"
"South Asia (IDA & IBRD)","TSA","2012","1676614288"
"South Asia (IDA & IBRD)","TSA","2013","1699306053"
"South Asia (IDA & IBRD)","TSA","2014","1721840539"
"South Asia (IDA & IBRD)","TSA","2015","1744190704"
"South Asia (IDA & IBRD)","TSA","2016","1766383450"
