"Year","Value"
"1960","571857185.0"
"1961","583950448.0"
"1962","596504751.0"
"1963","609376285.0"
"1964","622875636.0"
"1965","636754992.0"
"1966","651094669.0"
"1967","665871993.0"
"1968","681109271.0"
"1969","696734230.0"
"1970","712769163.0"
"1971","729115720.0"
"1972","745871099.0"
"1973","763149474.0"
"1974","780922591.0"
"1975","799294145.0"
"1976","818264619.0"
"1977","837811015.0"
"1978","857934480.0"
"1979","878616424.0"
"1980","899787611.0"
"1981","921270524.0"
"1982","943375098.0"
"1983","965905841.0"
"1984","988820543.0"
"1985","1012080845.0"
"1986","1035652813.0"
"1987","1059520266.0"
"1988","1083674191.0"
"1989","1108116731.0"
"1990","1132832536.0"
"1991","1157821722.0"
"1992","1183034707.0"
"1993","1208411907.0"
"1994","1233869424.0"
"1995","1259358616.0"
"1996","1284818746.0"
"1997","1310234107.0"
"1998","1335633730.0"
"1999","1361053702.0"
"2000","1386504523.0"
"2001","1411993292.0"
"2002","1437450586.0"
"2003","1462776158.0"
"2004","1487832276.0"
"2005","1512521166.0"
"2006","1536799012.0"
"2007","1560689001.0"
"2008","1584247163.0"
"2009","1607562312.0"
"2010","1630729920.0"
"2011","1653756466.0"
"2012","1676614288.0"
"2013","1699306053.0"
"2014","1721840539.0"
"2015","1744190704.0"
"2016","1766383450.0"
