"Year","Value"
"1960","2955152.0"
"1961","3011110.0"
"1962","3069913.0"
"1963","3131557.0"
"1964","3196113.0"
"1965","3263638.0"
"1966","3334191.0"
"1967","3407800.0"
"1968","3484537.0"
"1969","3564465.0"
"1970","3647709.0"
"1971","3734418.0"
"1972","3824762.0"
"1973","3918922.0"
"1974","4017075.0"
"1975","4119438.0"
"1976","4224529.0"
"1977","4332287.0"
"1978","4445826.0"
"1979","4569423.0"
"1980","4705224.0"
"1981","4853927.0"
"1982","5011726.0"
"1983","5170558.0"
"1984","5319609.0"
"1985","5450424.0"
"1986","5565545.0"
"1987","5666078.0"
"1988","5741235.0"
"1989","5777498.0"
"1990","5768481.0"
"1991","5705378.0"
"1992","5599814.0"
"1993","5490915.0"
"1994","5431738.0"
"1995","5459519.0"
"1996","5591114.0"
"1997","5814006.0"
"1998","6099923.0"
"1999","6405864.0"
"2000","6700656.0"
"2001","6974442.0"
"2002","7237276.0"
"2003","7501642.0"
"2004","7787655.0"
"2005","8108877.0"
"2006","8468152.0"
"2007","8856800.0"
"2008","9263136.0"
"2009","9670667.0"
"2010","10067192.0"
"2011","10448857.0"
"2012","10818258.0"
"2013","11177490.0"
"2014","11530971.0"
"2015","11882136.0"
"2016","12230730.0"
