"Year","Value"
"1960","30455000.0"
"1961","30739250.0"
"1962","31023366.0"
"1963","31296651.0"
"1964","31609195.0"
"1965","31954292.0"
"1966","32283194.0"
"1967","32682947.0"
"1968","33113134.0"
"1969","33441054.0"
"1970","33814531.0"
"1971","34224490.0"
"1972","34604469.0"
"1973","34988947.0"
"1974","35373335.0"
"1975","35757900.0"
"1976","36137812.0"
"1977","36511638.0"
"1978","36864898.0"
"1979","37191330.0"
"1980","37491165.0"
"1981","37758631.0"
"1982","37986012.0"
"1983","38171525.0"
"1984","38330364.0"
"1985","38469512.0"
"1986","38584624.0"
"1987","38684815.0"
"1988","38766939.0"
"1989","38827764.0"
"1990","38867322.0"
"1991","38966376.0"
"1992","39157685.0"
"1993","39361262.0"
"1994","39549108.0"
"1995","39724050.0"
"1996","39889852.0"
"1997","40057389.0"
"1998","40223509.0"
"1999","40386875.0"
"2000","40567864.0"
"2001","40850412.0"
"2002","41431558.0"
"2003","42187645.0"
"2004","42921895.0"
"2005","43653155.0"
"2006","44397319.0"
"2007","45226803.0"
"2008","45954106.0"
"2009","46362946.0"
"2010","46576897.0"
"2011","46742697.0"
"2012","46773055.0"
"2013","46620045.0"
"2014","46480882.0"
"2015","46447697.0"
"2016","46443959.0"
