"Year","Value"
"1960","9896000.0"
"1961","10168000.0"
"1962","10443000.0"
"1963","10582000.0"
"1964","10903000.0"
"1965","11164000.0"
"1966","11439000.0"
"1967","11703000.0"
"1968","11992000.0"
"1969","12252000.0"
"1970","12514000.0"
"1971","12690000.0"
"1972","12861000.0"
"1973","13091000.0"
"1974","13284000.0"
"1975","13496000.0"
"1976","13717000.0"
"1977","13942000.0"
"1978","14190000.0"
"1979","14472000.0"
"1980","14747000.0"
"1981","14847000.0"
"1982","15096000.0"
"1983","15339000.0"
"1984","15583000.0"
"1985","15831000.0"
"1986","16083000.0"
"1987","16339000.0"
"1988","16593000.0"
"1989","16841000.0"
"1990","17078000.0"
"1991","17306000.0"
"1992","17524000.0"
"1993","17728000.0"
"1994","17912000.0"
"1995","18074000.0"
"1996","18210000.0"
"1997","18323000.0"
"1998","18425000.0"
"1999","18532000.0"
"2000","18655000.0"
"2001","18797000.0"
"2002","18939000.0"
"2003","19083000.0"
"2004","19228000.0"
"2005","19373000.0"
"2006","19520000.0"
"2007","19668000.0"
"2008","19817000.0"
"2009","19968000.0"
"2010","20119000.0"
"2011","20271000.0"
"2012","20425000.0"
"2013","20585000.0"
"2014","20771000.0"
"2015","20966000.0"
"2016","21203000.0"
