"Country Name","Country Code","Year","Value"
"St. Lucia","LCA","1960","89897"
"St. Lucia","LCA","1961","90914"
"St. Lucia","LCA","1962","92084"
"St. Lucia","LCA","1963","93399"
"St. Lucia","LCA","1964","94814"
"St. Lucia","LCA","1965","96302"
"St. Lucia","LCA","1966","97881"
"St. Lucia","LCA","1967","99527"
"St. Lucia","LCA","1968","101179"
"St. Lucia","LCA","1969","102749"
"St. Lucia","LCA","1970","104160"
"St. Lucia","LCA","1971","105390"
"St. Lucia","LCA","1972","106455"
"St. Lucia","LCA","1973","107466"
"St. Lucia","LCA","1974","108532"
"St. Lucia","LCA","1975","109769"
"St. Lucia","LCA","1976","111208"
"St. Lucia","LCA","1977","112831"
"St. Lucia","LCA","1978","114546"
"St. Lucia","LCA","1979","116290"
"St. Lucia","LCA","1980","117987"
"St. Lucia","LCA","1981","119594"
"St. Lucia","LCA","1982","121154"
"St. Lucia","LCA","1983","122740"
"St. Lucia","LCA","1984","124468"
"St. Lucia","LCA","1985","126418"
"St. Lucia","LCA","1986","128619"
"St. Lucia","LCA","1987","131034"
"St. Lucia","LCA","1988","133533"
"St. Lucia","LCA","1989","135956"
"St. Lucia","LCA","1990","138185"
"St. Lucia","LCA","1991","140156"
"St. Lucia","LCA","1992","141925"
"St. Lucia","LCA","1993","143565"
"St. Lucia","LCA","1994","145247"
"St. Lucia","LCA","1995","147044"
"St. Lucia","LCA","1996","149004"
"St. Lucia","LCA","1997","151086"
"St. Lucia","LCA","1998","153183"
"St. Lucia","LCA","1999","155172"
"St. Lucia","LCA","2000","156949"
"St. Lucia","LCA","2001","158464"
"St. Lucia","LCA","2002","159763"
"St. Lucia","LCA","2003","160973"
"St. Lucia","LCA","2004","162251"
"St. Lucia","LCA","2005","163714"
"St. Lucia","LCA","2006","165407"
"St. Lucia","LCA","2007","167288"
"St. Lucia","LCA","2008","169220"
"St. Lucia","LCA","2009","171022"
"St. Lucia","LCA","2010","172580"
"St. Lucia","LCA","2011","173832"
"St. Lucia","LCA","2012","174835"
"St. Lucia","LCA","2013","175660"
"St. Lucia","LCA","2014","176421"
"St. Lucia","LCA","2015","177206"
"St. Lucia","LCA","2016","178015"
