"Country Name","Country Code","Year","Value"
"St. Vincent and the Grenadines","VCT","1960","80949"
"St. Vincent and the Grenadines","VCT","1961","82142"
"St. Vincent and the Grenadines","VCT","1962","83206"
"St. Vincent and the Grenadines","VCT","1963","84167"
"St. Vincent and the Grenadines","VCT","1964","85069"
"St. Vincent and the Grenadines","VCT","1965","85970"
"St. Vincent and the Grenadines","VCT","1966","86857"
"St. Vincent and the Grenadines","VCT","1967","87736"
"St. Vincent and the Grenadines","VCT","1968","88613"
"St. Vincent and the Grenadines","VCT","1969","89516"
"St. Vincent and the Grenadines","VCT","1970","90452"
"St. Vincent and the Grenadines","VCT","1971","91440"
"St. Vincent and the Grenadines","VCT","1972","92463"
"St. Vincent and the Grenadines","VCT","1973","93517"
"St. Vincent and the Grenadines","VCT","1974","94568"
"St. Vincent and the Grenadines","VCT","1975","95611"
"St. Vincent and the Grenadines","VCT","1976","96641"
"St. Vincent and the Grenadines","VCT","1977","97649"
"St. Vincent and the Grenadines","VCT","1978","98633"
"St. Vincent and the Grenadines","VCT","1979","99590"
"St. Vincent and the Grenadines","VCT","1980","100505"
"St. Vincent and the Grenadines","VCT","1981","101379"
"St. Vincent and the Grenadines","VCT","1982","102204"
"St. Vincent and the Grenadines","VCT","1983","102984"
"St. Vincent and the Grenadines","VCT","1984","103742"
"St. Vincent and the Grenadines","VCT","1985","104477"
"St. Vincent and the Grenadines","VCT","1986","105198"
"St. Vincent and the Grenadines","VCT","1987","105896"
"St. Vincent and the Grenadines","VCT","1988","106536"
"St. Vincent and the Grenadines","VCT","1989","107084"
"St. Vincent and the Grenadines","VCT","1990","107505"
"St. Vincent and the Grenadines","VCT","1991","107814"
"St. Vincent and the Grenadines","VCT","1992","108003"
"St. Vincent and the Grenadines","VCT","1993","108092"
"St. Vincent and the Grenadines","VCT","1994","108129"
"St. Vincent and the Grenadines","VCT","1995","108122"
"St. Vincent and the Grenadines","VCT","1996","108075"
"St. Vincent and the Grenadines","VCT","1997","108004"
"St. Vincent and the Grenadines","VCT","1998","107922"
"St. Vincent and the Grenadines","VCT","1999","107880"
"St. Vincent and the Grenadines","VCT","2000","107898"
"St. Vincent and the Grenadines","VCT","2001","107988"
"St. Vincent and the Grenadines","VCT","2002","108146"
"St. Vincent and the Grenadines","VCT","2003","108350"
"St. Vincent and the Grenadines","VCT","2004","108559"
"St. Vincent and the Grenadines","VCT","2005","108744"
"St. Vincent and the Grenadines","VCT","2006","108907"
"St. Vincent and the Grenadines","VCT","2007","109047"
"St. Vincent and the Grenadines","VCT","2008","109165"
"St. Vincent and the Grenadines","VCT","2009","109253"
"St. Vincent and the Grenadines","VCT","2010","109315"
"St. Vincent and the Grenadines","VCT","2011","109341"
"St. Vincent and the Grenadines","VCT","2012","109328"
"St. Vincent and the Grenadines","VCT","2013","109320"
"St. Vincent and the Grenadines","VCT","2014","109357"
"St. Vincent and the Grenadines","VCT","2015","109455"
"St. Vincent and the Grenadines","VCT","2016","109643"
