"Year","Value"
"1960","228483817.0"
"1961","233895063.0"
"1962","239523824.0"
"1963","245368754.0"
"1964","251425272.0"
"1965","257692753.0"
"1966","264176263.0"
"1967","270887360.0"
"1968","277840203.0"
"1969","285051902.0"
"1970","292538525.0"
"1971","300306321.0"
"1972","308363872.0"
"1973","316732080.0"
"1974","325435432.0"
"1975","334492038.0"
"1976","343911628.0"
"1977","353693831.0"
"1978","363829976.0"
"1979","374316066.0"
"1980","385138692.0"
"1981","396297441.0"
"1982","407793567.0"
"1983","419619388.0"
"1984","431770082.0"
"1985","444235680.0"
"1986","457012890.0"
"1987","470103300.0"
"1988","483514016.0"
"1989","497257833.0"
"1990","511340559.0"
"1991","525783087.0"
"1992","540581485.0"
"1993","555699023.0"
"1994","571093992.0"
"1995","586732965.0"
"1996","602620918.0"
"1997","618795119.0"
"1998","635315649.0"
"1999","652274408.0"
"2000","669737048.0"
"2001","687462724.0"
"2002","705845436.882872"
"2003","724827302.898927"
"2004","744459948.991372"
"2005","764783733.243966"
"2006","785820414.484987"
"2007","807571796.990929"
"2008","830024044.295534"
"2009","853151354.110201"
"2010","876933366.362228"
"2011","901368314.357816"
"2012","926459874.077234"
"2013","952188682.610082"
"2014","978533722.739162"
"2015","1005477381.68203"
"2016","1033011458.0"
