"Year","Value"
"1960","228525517.0"
"1961","233937952.0"
"1962","239567866.0"
"1963","245413930.0"
"1964","251471594.0"
"1965","257740253.0"
"1966","264224962.0"
"1967","270937271.0"
"1968","277891337.0"
"1969","285104267.0"
"1970","292592125.0"
"1971","300361016.0"
"1972","308419901.0"
"1973","316788972.0"
"1974","325493369.0"
"1975","334551330.0"
"1976","343972132.0"
"1977","353755617.0"
"1978","363892126.0"
"1979","374378752.0"
"1980","385201953.0"
"1981","396361476.0"
"1982","407857980.0"
"1983","419683723.0"
"1984","431834799.0"
"1985","444300924.0"
"1986","457078542.0"
"1987","470171799.0"
"1988","483582771.0"
"1989","497327000.0"
"1990","511410066.0"
"1991","525853526.0"
"1992","540652248.0"
"1993","555771276.0"
"1994","571168197.0"
"1995","586808269.0"
"1996","602697335.0"
"1997","618872438.0"
"1998","635394495.0"
"1999","652354818.0"
"2000","669818179.0"
"2001","687543926.0"
"2002","705929159.882872"
"2003","724910083.898927"
"2004","744542423.991372"
"2005","764866591.243966"
"2006","785905014.484987"
"2007","807656829.990929"
"2008","830111000.295534"
"2009","853238652.110201"
"2010","877023136.362228"
"2011","901455755.357816"
"2012","926548177.077234"
"2013","952278631.610082"
"2014","978625081.739162"
"2015","1005570800.68203"
"2016","1033106135.0"
