"Country Name","Country Code","Year","Value"
"Suriname","SUR","1960","289966"
"Suriname","SUR","1961","298188"
"Suriname","SUR","1962","306328"
"Suriname","SUR","1963","314528"
"Suriname","SUR","1964","322997"
"Suriname","SUR","1965","331793"
"Suriname","SUR","1966","341133"
"Suriname","SUR","1967","350751"
"Suriname","SUR","1968","359733"
"Suriname","SUR","1969","366848"
"Suriname","SUR","1970","371273"
"Suriname","SUR","1971","372623"
"Suriname","SUR","1972","371324"
"Suriname","SUR","1973","368344"
"Suriname","SUR","1974","365099"
"Suriname","SUR","1975","362654"
"Suriname","SUR","1976","361364"
"Suriname","SUR","1977","361043"
"Suriname","SUR","1978","361457"
"Suriname","SUR","1979","362125"
"Suriname","SUR","1980","362777"
"Suriname","SUR","1981","363325"
"Suriname","SUR","1982","364032"
"Suriname","SUR","1983","365300"
"Suriname","SUR","1984","367660"
"Suriname","SUR","1985","371470"
"Suriname","SUR","1986","376867"
"Suriname","SUR","1987","383654"
"Suriname","SUR","1988","391391"
"Suriname","SUR","1989","399492"
"Suriname","SUR","1990","407472"
"Suriname","SUR","1991","415216"
"Suriname","SUR","1992","422763"
"Suriname","SUR","1993","430039"
"Suriname","SUR","1994","437037"
"Suriname","SUR","1995","443724"
"Suriname","SUR","1996","450036"
"Suriname","SUR","1997","455954"
"Suriname","SUR","1998","461560"
"Suriname","SUR","1999","467003"
"Suriname","SUR","2000","472390"
"Suriname","SUR","2001","477740"
"Suriname","SUR","2002","483044"
"Suriname","SUR","2003","488332"
"Suriname","SUR","2004","493630"
"Suriname","SUR","2005","498946"
"Suriname","SUR","2006","504307"
"Suriname","SUR","2007","509705"
"Suriname","SUR","2008","515148"
"Suriname","SUR","2009","520619"
"Suriname","SUR","2010","526103"
"Suriname","SUR","2011","531589"
"Suriname","SUR","2012","537077"
"Suriname","SUR","2013","542540"
"Suriname","SUR","2014","547928"
"Suriname","SUR","2015","553208"
"Suriname","SUR","2016","558368"
