"Country Name","Country Code","Year","Value"
"Swaziland","SWZ","1960","349174"
"Swaziland","SWZ","1961","357453"
"Swaziland","SWZ","1962","365636"
"Swaziland","SWZ","1963","373897"
"Swaziland","SWZ","1964","382469"
"Swaziland","SWZ","1965","391546"
"Swaziland","SWZ","1966","401183"
"Swaziland","SWZ","1967","411352"
"Swaziland","SWZ","1968","422140"
"Swaziland","SWZ","1969","433588"
"Swaziland","SWZ","1970","445729"
"Swaziland","SWZ","1971","458605"
"Swaziland","SWZ","1972","472230"
"Swaziland","SWZ","1973","486561"
"Swaziland","SWZ","1974","501512"
"Swaziland","SWZ","1975","517024"
"Swaziland","SWZ","1976","533214"
"Swaziland","SWZ","1977","550118"
"Swaziland","SWZ","1978","567559"
"Swaziland","SWZ","1979","585344"
"Swaziland","SWZ","1980","603372"
"Swaziland","SWZ","1981","621276"
"Swaziland","SWZ","1982","639237"
"Swaziland","SWZ","1983","658320"
"Swaziland","SWZ","1984","679976"
"Swaziland","SWZ","1985","705085"
"Swaziland","SWZ","1986","734243"
"Swaziland","SWZ","1987","766707"
"Swaziland","SWZ","1988","800456"
"Swaziland","SWZ","1989","832682"
"Swaziland","SWZ","1990","861373"
"Swaziland","SWZ","1991","885623"
"Swaziland","SWZ","1992","906034"
"Swaziland","SWZ","1993","924025"
"Swaziland","SWZ","1994","941774"
"Swaziland","SWZ","1995","960792"
"Swaziland","SWZ","1996","981764"
"Swaziland","SWZ","1997","1003995"
"Swaziland","SWZ","1998","1026009"
"Swaziland","SWZ","1999","1045629"
"Swaziland","SWZ","2000","1061468"
"Swaziland","SWZ","2001","1072927"
"Swaziland","SWZ","2002","1080930"
"Swaziland","SWZ","2003","1087392"
"Swaziland","SWZ","2004","1095053"
"Swaziland","SWZ","2005","1105873"
"Swaziland","SWZ","2006","1120514"
"Swaziland","SWZ","2007","1138434"
"Swaziland","SWZ","2008","1158897"
"Swaziland","SWZ","2009","1180675"
"Swaziland","SWZ","2010","1202843"
"Swaziland","SWZ","2011","1225258"
"Swaziland","SWZ","2012","1248158"
"Swaziland","SWZ","2013","1271456"
"Swaziland","SWZ","2014","1295097"
"Swaziland","SWZ","2015","1319011"
"Swaziland","SWZ","2016","1343098"
