"Country Name","Country Code","Year","Value"
"Sweden","SWE","1960","7484656"
"Sweden","SWE","1961","7519998"
"Sweden","SWE","1962","7561588"
"Sweden","SWE","1963","7604328"
"Sweden","SWE","1964","7661354"
"Sweden","SWE","1965","7733853"
"Sweden","SWE","1966","7807797"
"Sweden","SWE","1967","7867931"
"Sweden","SWE","1968","7912273"
"Sweden","SWE","1969","7968072"
"Sweden","SWE","1970","8042801"
"Sweden","SWE","1971","8098334"
"Sweden","SWE","1972","8122300"
"Sweden","SWE","1973","8136312"
"Sweden","SWE","1974","8159955"
"Sweden","SWE","1975","8192437"
"Sweden","SWE","1976","8222286"
"Sweden","SWE","1977","8251540"
"Sweden","SWE","1978","8275599"
"Sweden","SWE","1979","8293678"
"Sweden","SWE","1980","8310531"
"Sweden","SWE","1981","8320503"
"Sweden","SWE","1982","8325263"
"Sweden","SWE","1983","8329033"
"Sweden","SWE","1984","8336605"
"Sweden","SWE","1985","8350386"
"Sweden","SWE","1986","8369829"
"Sweden","SWE","1987","8397804"
"Sweden","SWE","1988","8436489"
"Sweden","SWE","1989","8492964"
"Sweden","SWE","1990","8558835"
"Sweden","SWE","1991","8617375"
"Sweden","SWE","1992","8668067"
"Sweden","SWE","1993","8718561"
"Sweden","SWE","1994","8780745"
"Sweden","SWE","1995","8826939"
"Sweden","SWE","1996","8840998"
"Sweden","SWE","1997","8846062"
"Sweden","SWE","1998","8850974"
"Sweden","SWE","1999","8857874"
"Sweden","SWE","2000","8872109"
"Sweden","SWE","2001","8895960"
"Sweden","SWE","2002","8924958"
"Sweden","SWE","2003","8958229"
"Sweden","SWE","2004","8993531"
"Sweden","SWE","2005","9029572"
"Sweden","SWE","2006","9080505"
"Sweden","SWE","2007","9148092"
"Sweden","SWE","2008","9219637"
"Sweden","SWE","2009","9298515"
"Sweden","SWE","2010","9378126"
"Sweden","SWE","2011","9449213"
"Sweden","SWE","2012","9519374"
"Sweden","SWE","2013","9600379"
"Sweden","SWE","2014","9696110"
"Sweden","SWE","2015","9799186"
"Sweden","SWE","2016","9903122"
