"Country Name","Country Code","Year","Value"
"Switzerland","CHE","1960","5327827"
"Switzerland","CHE","1961","5434294"
"Switzerland","CHE","1962","5573815"
"Switzerland","CHE","1963","5694247"
"Switzerland","CHE","1964","5789228"
"Switzerland","CHE","1965","5856472"
"Switzerland","CHE","1966","5918002"
"Switzerland","CHE","1967","5991785"
"Switzerland","CHE","1968","6067714"
"Switzerland","CHE","1969","6136387"
"Switzerland","CHE","1970","6180877"
"Switzerland","CHE","1971","6213399"
"Switzerland","CHE","1972","6260956"
"Switzerland","CHE","1973","6307347"
"Switzerland","CHE","1974","6341405"
"Switzerland","CHE","1975","6338632"
"Switzerland","CHE","1976","6302504"
"Switzerland","CHE","1977","6281174"
"Switzerland","CHE","1978","6281738"
"Switzerland","CHE","1979","6294365"
"Switzerland","CHE","1980","6319408"
"Switzerland","CHE","1981","6354074"
"Switzerland","CHE","1982","6391309"
"Switzerland","CHE","1983","6418773"
"Switzerland","CHE","1984","6441865"
"Switzerland","CHE","1985","6470365"
"Switzerland","CHE","1986","6504124"
"Switzerland","CHE","1987","6545106"
"Switzerland","CHE","1988","6593386"
"Switzerland","CHE","1989","6646912"
"Switzerland","CHE","1990","6715519"
"Switzerland","CHE","1991","6799978"
"Switzerland","CHE","1992","6875364"
"Switzerland","CHE","1993","6938265"
"Switzerland","CHE","1994","6993795"
"Switzerland","CHE","1995","7040687"
"Switzerland","CHE","1996","7071850"
"Switzerland","CHE","1997","7088906"
"Switzerland","CHE","1998","7110001"
"Switzerland","CHE","1999","7143991"
"Switzerland","CHE","2000","7184250"
"Switzerland","CHE","2001","7229854"
"Switzerland","CHE","2002","7284753"
"Switzerland","CHE","2003","7339001"
"Switzerland","CHE","2004","7389625"
"Switzerland","CHE","2005","7437115"
"Switzerland","CHE","2006","7483934"
"Switzerland","CHE","2007","7551117"
"Switzerland","CHE","2008","7647675"
"Switzerland","CHE","2009","7743831"
"Switzerland","CHE","2010","7824909"
"Switzerland","CHE","2011","7912398"
"Switzerland","CHE","2012","7996861"
"Switzerland","CHE","2013","8089346"
"Switzerland","CHE","2014","8188649"
"Switzerland","CHE","2015","8282396"
"Switzerland","CHE","2016","8372098"
