"Country Name","Country Code","Year","Value"
"Syrian Arab Republic","SYR","1960","4573512"
"Syrian Arab Republic","SYR","1961","4721896"
"Syrian Arab Republic","SYR","1962","4875422"
"Syrian Arab Republic","SYR","1963","5034646"
"Syrian Arab Republic","SYR","1964","5200336"
"Syrian Arab Republic","SYR","1965","5373137"
"Syrian Arab Republic","SYR","1966","5553246"
"Syrian Arab Republic","SYR","1967","5740710"
"Syrian Arab Republic","SYR","1968","5935860"
"Syrian Arab Republic","SYR","1969","6139048"
"Syrian Arab Republic","SYR","1970","6350541"
"Syrian Arab Republic","SYR","1971","6570857"
"Syrian Arab Republic","SYR","1972","6800141"
"Syrian Arab Republic","SYR","1973","7037851"
"Syrian Arab Republic","SYR","1974","7283177"
"Syrian Arab Republic","SYR","1975","7535714"
"Syrian Arab Republic","SYR","1976","7794662"
"Syrian Arab Republic","SYR","1977","8060649"
"Syrian Arab Republic","SYR","1978","8336418"
"Syrian Arab Republic","SYR","1979","8625690"
"Syrian Arab Republic","SYR","1980","8930774"
"Syrian Arab Republic","SYR","1981","9252851"
"Syrian Arab Republic","SYR","1982","9590227"
"Syrian Arab Republic","SYR","1983","9938847"
"Syrian Arab Republic","SYR","1984","10293049"
"Syrian Arab Republic","SYR","1985","10648632"
"Syrian Arab Republic","SYR","1986","11004272"
"Syrian Arab Republic","SYR","1987","11360852"
"Syrian Arab Republic","SYR","1988","11719071"
"Syrian Arab Republic","SYR","1989","12080444"
"Syrian Arab Republic","SYR","1990","12446171"
"Syrian Arab Republic","SYR","1991","12815219"
"Syrian Arab Republic","SYR","1992","13187085"
"Syrian Arab Republic","SYR","1993","13564167"
"Syrian Arab Republic","SYR","1994","13949697"
"Syrian Arab Republic","SYR","1995","14345492"
"Syrian Arab Republic","SYR","1996","14755286"
"Syrian Arab Republic","SYR","1997","15177456"
"Syrian Arab Republic","SYR","1998","15602210"
"Syrian Arab Republic","SYR","1999","16016092"
"Syrian Arab Republic","SYR","2000","16410848"
"Syrian Arab Republic","SYR","2001","16766899"
"Syrian Arab Republic","SYR","2002","17087901"
"Syrian Arab Republic","SYR","2003","17415266"
"Syrian Arab Republic","SYR","2004","17806638"
"Syrian Arab Republic","SYR","2005","18294611"
"Syrian Arab Republic","SYR","2006","18914977"
"Syrian Arab Republic","SYR","2007","19632806"
"Syrian Arab Republic","SYR","2008","20325443"
"Syrian Arab Republic","SYR","2009","20824893"
"Syrian Arab Republic","SYR","2010","21018834"
"Syrian Arab Republic","SYR","2011","20863993"
"Syrian Arab Republic","SYR","2012","20420701"
"Syrian Arab Republic","SYR","2013","19809141"
"Syrian Arab Republic","SYR","2014","19203090"
"Syrian Arab Republic","SYR","2015","18734987"
"Syrian Arab Republic","SYR","2016","18430453"
