"Country Name","Country Code","Year","Value"
"Tajikistan","TJK","1960","2087038"
"Tajikistan","TJK","1961","2159123"
"Tajikistan","TJK","1962","2236559"
"Tajikistan","TJK","1963","2318234"
"Tajikistan","TJK","1964","2402455"
"Tajikistan","TJK","1965","2487953"
"Tajikistan","TJK","1966","2574478"
"Tajikistan","TJK","1967","2662230"
"Tajikistan","TJK","1968","2750894"
"Tajikistan","TJK","1969","2840228"
"Tajikistan","TJK","1970","2930079"
"Tajikistan","TJK","1971","3020391"
"Tajikistan","TJK","1972","3111264"
"Tajikistan","TJK","1973","3203019"
"Tajikistan","TJK","1974","3296095"
"Tajikistan","TJK","1975","3390935"
"Tajikistan","TJK","1976","3487644"
"Tajikistan","TJK","1977","3586499"
"Tajikistan","TJK","1978","3688385"
"Tajikistan","TJK","1979","3794420"
"Tajikistan","TJK","1980","3905413"
"Tajikistan","TJK","1981","4020778"
"Tajikistan","TJK","1982","4140258"
"Tajikistan","TJK","1983","4265247"
"Tajikistan","TJK","1984","4397525"
"Tajikistan","TJK","1985","4537789"
"Tajikistan","TJK","1986","4687283"
"Tajikistan","TJK","1987","4843951"
"Tajikistan","TJK","1988","5001110"
"Tajikistan","TJK","1989","5149803"
"Tajikistan","TJK","1990","5283728"
"Tajikistan","TJK","1991","5400714"
"Tajikistan","TJK","1992","5502976"
"Tajikistan","TJK","1993","5594114"
"Tajikistan","TJK","1994","5679832"
"Tajikistan","TJK","1995","5764712"
"Tajikistan","TJK","1996","5849540"
"Tajikistan","TJK","1997","5934282"
"Tajikistan","TJK","1998","6021691"
"Tajikistan","TJK","1999","6114886"
"Tajikistan","TJK","2000","6216205"
"Tajikistan","TJK","2001","6327125"
"Tajikistan","TJK","2002","6447688"
"Tajikistan","TJK","2003","6576877"
"Tajikistan","TJK","2004","6712841"
"Tajikistan","TJK","2005","6854176"
"Tajikistan","TJK","2006","7000557"
"Tajikistan","TJK","2007","7152385"
"Tajikistan","TJK","2008","7309728"
"Tajikistan","TJK","2009","7472819"
"Tajikistan","TJK","2010","7641630"
"Tajikistan","TJK","2011","7815949"
"Tajikistan","TJK","2012","7995062"
"Tajikistan","TJK","2013","8177809"
"Tajikistan","TJK","2014","8362745"
"Tajikistan","TJK","2015","8548651"
"Tajikistan","TJK","2016","8734951"
