"Year","Value"
"1960","10074507.0"
"1961","10373398.0"
"1962","10683906.0"
"1963","11005905.0"
"1964","11339097.0"
"1965","11683528.0"
"1966","12038903.0"
"1967","12406040.0"
"1968","12787489.0"
"1969","13186557.0"
"1970","13605529.0"
"1971","14045824.0"
"1972","14506617.0"
"1973","14985131.0"
"1974","15477294.0"
"1975","15980301.0"
"1976","16493305.0"
"1977","17017670.0"
"1978","17555494.0"
"1979","18109884.0"
"1980","18683157.0"
"1981","19277108.0"
"1982","19891548.0"
"1983","20524666.0"
"1984","21173603.0"
"1985","21836999.0"
"1986","22511243.0"
"1987","23198533.0"
"1988","23909954.0"
"1989","24660575.0"
"1990","25459604.0"
"1991","26315013.0"
"1992","27219619.0"
"1993","28149328.0"
"1994","29070615.0"
"1995","29960776.0"
"1996","30811854.0"
"1997","31635251.0"
"1998","32451713.0"
"1999","33291540.0"
"2000","34178042.0"
"2001","35117019.0"
"2002","36105808.0"
"2003","37149072.0"
"2004","38249984.0"
"2005","39410545.0"
"2006","40634948.0"
"2007","41923715.0"
"2008","43270144.0"
"2009","44664231.0"
"2010","46098591.0"
"2011","47570902.0"
"2012","49082997.0"
"2013","50636595.0"
"2014","52234869.0"
"2015","53879957.0"
"2016","55572201.0"
