"Year","Value"
"1960","27397175.0"
"1961","28224204.0"
"1962","29081034.0"
"1963","29967041.0"
"1964","30881332.0"
"1965","31822796.0"
"1966","32789096.0"
"1967","33778504.0"
"1968","34790945.0"
"1969","35826804.0"
"1970","36884913.0"
"1971","37964925.0"
"1972","39061994.0"
"1973","40164966.0"
"1974","41259536.0"
"1975","42334954.0"
"1976","43386841.0"
"1977","44416010.0"
"1978","45423436.0"
"1979","46412307.0"
"1980","47385323.0"
"1981","48337503.0"
"1982","49267560.0"
"1983","50186199.0"
"1984","51108082.0"
"1985","52041469.0"
"1986","52996467.0"
"1987","53964406.0"
"1988","54912334.0"
"1989","55795106.0"
"1990","56582821.0"
"1991","57258401.0"
"1992","57837878.0"
"1993","58364891.0"
"1994","58901666.0"
"1995","59491790.0"
"1996","60151472.0"
"1997","60863506.0"
"1998","61597283.0"
"1999","62306651.0"
"2000","62958021.0"
"2001","63543322.0"
"2002","64073164.0"
"2003","64554952.0"
"2004","65002231.0"
"2005","65425470.0"
"2006","65824164.0"
"2007","66195615.0"
"2008","66545760.0"
"2009","66881867.0"
"2010","67208808.0"
"2011","67530130.0"
"2012","67843979.0"
"2013","68143065.0"
"2014","68416772.0"
"2015","68657600.0"
"2016","68863514.0"
