"Year","Value"
"1960","499950.0"
"1961","508845.0"
"1962","518107.0"
"1963","527749.0"
"1964","537786.0"
"1965","548218.0"
"1966","558676.0"
"1967","569031.0"
"1968","579807.0"
"1969","591739.0"
"1970","605125.0"
"1971","620945.0"
"1972","638499.0"
"1973","654437.0"
"1974","664223.0"
"1975","664984.0"
"1976","654947.0"
"1977","636096.0"
"1978","613857.0"
"1979","595872.0"
"1980","587563.0"
"1981","591005.0"
"1982","604430.0"
"1983","624648.0"
"1984","646688.0"
"1985","666945.0"
"1986","684184.0"
"1987","699522.0"
"1988","714474.0"
"1989","731444.0"
"1990","751933.0"
"1991","777011.0"
"1992","805435.0"
"1993","833611.0"
"1994","856684.0"
"1995","871447.0"
"1996","875916.0"
"1997","871994.0"
"1998","865194.0"
"1999","863269.0"
"2000","871607.0"
"2001","892531.0"
"2002","923825.0"
"2003","960852.0"
"2004","996698.0"
"2005","1026484.0"
"2006","1048621.0"
"2007","1064973.0"
"2008","1078110.0"
"2009","1092021.0"
"2010","1109591.0"
"2011","1131523.0"
"2012","1156760.0"
"2013","1184366.0"
"2014","1212814.0"
"2015","1240977.0"
"2016","1268671.0"
