"Year","Value"
"1960","1580513.0"
"1961","1597526.0"
"1962","1612755.0"
"1963","1631764.0"
"1964","1662073.0"
"1965","1708630.0"
"1966","1774029.0"
"1967","1855442.0"
"1968","1945780.0"
"1969","2034907.0"
"1970","2115522.0"
"1971","2185662.0"
"1972","2247582.0"
"1973","2303345.0"
"1974","2356622.0"
"1975","2410446.0"
"1976","2464455.0"
"1977","2518566.0"
"1978","2576469.0"
"1979","2642846.0"
"1980","2720839.0"
"1981","2812039.0"
"1982","2915066.0"
"1983","3026238.0"
"1984","3140237.0"
"1985","3252994.0"
"1986","3364020.0"
"1987","3474080.0"
"1988","3581928.0"
"1989","3686373.0"
"1990","3786940.0"
"1991","3882271.0"
"1992","3973327.0"
"1993","4064926.0"
"1994","4163642.0"
"1995","4274024.0"
"1996","4398238.0"
"1997","4534551.0"
"1998","4679023.0"
"1999","4825704.0"
"2000","4970367.0"
"2001","5111770.0"
"2002","5251472.0"
"2003","5391401.0"
"2004","5534598.0"
"2005","5683268.0"
"2006","5837792.0"
"2007","5997385.0"
"2008","6161796.0"
"2009","6330472.0"
"2010","6502952.0"
"2011","6679282.0"
"2012","6859482.0"
"2013","7042948.0"
"2014","7228915.0"
"2015","7416802.0"
"2016","7606374.0"
