"Country Name","Country Code","Year","Value"
"Trinidad and Tobago","TTO","1960","848479"
"Trinidad and Tobago","TTO","1961","865360"
"Trinidad and Tobago","TTO","1962","880023"
"Trinidad and Tobago","TTO","1963","892569"
"Trinidad and Tobago","TTO","1964","903275"
"Trinidad and Tobago","TTO","1965","912417"
"Trinidad and Tobago","TTO","1966","919903"
"Trinidad and Tobago","TTO","1967","925909"
"Trinidad and Tobago","TTO","1968","931468"
"Trinidad and Tobago","TTO","1969","937848"
"Trinidad and Tobago","TTO","1970","945993"
"Trinidad and Tobago","TTO","1971","956366"
"Trinidad and Tobago","TTO","1972","968741"
"Trinidad and Tobago","TTO","1973","982592"
"Trinidad and Tobago","TTO","1974","997053"
"Trinidad and Tobago","TTO","1975","1011490"
"Trinidad and Tobago","TTO","1976","1025658"
"Trinidad and Tobago","TTO","1977","1039761"
"Trinidad and Tobago","TTO","1978","1054116"
"Trinidad and Tobago","TTO","1979","1069202"
"Trinidad and Tobago","TTO","1980","1085308"
"Trinidad and Tobago","TTO","1981","1102556"
"Trinidad and Tobago","TTO","1982","1120611"
"Trinidad and Tobago","TTO","1983","1138676"
"Trinidad and Tobago","TTO","1984","1155695"
"Trinidad and Tobago","TTO","1985","1170928"
"Trinidad and Tobago","TTO","1986","1184051"
"Trinidad and Tobago","TTO","1987","1195247"
"Trinidad and Tobago","TTO","1988","1204893"
"Trinidad and Tobago","TTO","1989","1213624"
"Trinidad and Tobago","TTO","1990","1221900"
"Trinidad and Tobago","TTO","1991","1229907"
"Trinidad and Tobago","TTO","1992","1237487"
"Trinidad and Tobago","TTO","1993","1244407"
"Trinidad and Tobago","TTO","1994","1250318"
"Trinidad and Tobago","TTO","1995","1255001"
"Trinidad and Tobago","TTO","1996","1258364"
"Trinidad and Tobago","TTO","1997","1260678"
"Trinidad and Tobago","TTO","1998","1262542"
"Trinidad and Tobago","TTO","1999","1264775"
"Trinidad and Tobago","TTO","2000","1267984"
"Trinidad and Tobago","TTO","2001","1272380"
"Trinidad and Tobago","TTO","2002","1277837"
"Trinidad and Tobago","TTO","2003","1284052"
"Trinidad and Tobago","TTO","2004","1290535"
"Trinidad and Tobago","TTO","2005","1296934"
"Trinidad and Tobago","TTO","2006","1303144"
"Trinidad and Tobago","TTO","2007","1309260"
"Trinidad and Tobago","TTO","2008","1315372"
"Trinidad and Tobago","TTO","2009","1321618"
"Trinidad and Tobago","TTO","2010","1328100"
"Trinidad and Tobago","TTO","2011","1334788"
"Trinidad and Tobago","TTO","2012","1341588"
"Trinidad and Tobago","TTO","2013","1348248"
"Trinidad and Tobago","TTO","2014","1354493"
"Trinidad and Tobago","TTO","2015","1360092"
"Trinidad and Tobago","TTO","2016","1364962"
