"Year","Value"
"1960","4176266.0"
"1961","4235937.0"
"1962","4303131.0"
"1963","4377637.0"
"1964","4458611.0"
"1965","4545339.0"
"1966","4638275.0"
"1967","4737627.0"
"1968","4842167.0"
"1969","4950153.0"
"1970","5060397.0"
"1971","5172691.0"
"1972","5287543.0"
"1973","5405355.0"
"1974","5526764.0"
"1975","5652476.0"
"1976","5781796.0"
"1977","5915006.0"
"1978","6054911.0"
"1979","6205212.0"
"1980","6368167.0"
"1981","6545024.0"
"1982","6733961.0"
"1983","6930387.0"
"1984","7127941.0"
"1985","7321876.0"
"1986","7509756.0"
"1987","7692254.0"
"1988","7871459.0"
"1989","8050932.0"
"1990","8232797.0"
"1991","8417684.0"
"1992","8603225.0"
"1993","8784888.0"
"1994","8956596.0"
"1995","9113975.0"
"1996","9256037.0"
"1997","9384152.0"
"1998","9499395.0"
"1999","9603742.0"
"2000","9699197.0"
"2001","9785701.0"
"2002","9864326.0"
"2003","9939678.0"
"2004","10017601.0"
"2005","10102482.0"
"2006","10196136.0"
"2007","10298087.0"
"2008","10407336.0"
"2009","10521834.0"
"2010","10639931.0"
"2011","10761467.0"
"2012","10886668.0"
"2013","11014558.0"
"2014","11143908.0"
"2015","11273661.0"
"2016","11403248.0"
