"Year","Value"
"1960","27472331.0"
"1961","28146893.0"
"1962","28832805.0"
"1963","29531342.0"
"1964","30244232.0"
"1965","30972965.0"
"1966","31717477.0"
"1967","32477961.0"
"1968","33256432.0"
"1969","34055361.0"
"1970","34876267.0"
"1971","35720568.0"
"1972","36587225.0"
"1973","37472298.0"
"1974","38370241.0"
"1975","39277211.0"
"1976","40189511.0"
"1977","41108248.0"
"1978","42039935.0"
"1979","42993991.0"
"1980","43975921.0"
"1981","44988356.0"
"1982","46025357.0"
"1983","47073422.0"
"1984","48114105.0"
"1985","49133883.0"
"1986","50128489.0"
"1987","51100878.0"
"1988","52053704.0"
"1989","52992429.0"
"1990","53921699.0"
"1991","54840531.0"
"1992","55748875.0"
"1993","56653729.0"
"1994","57564132.0"
"1995","58486381.0"
"1996","59423208.0"
"1997","60372499.0"
"1998","61329590.0"
"1999","62287326.0"
"2000","63240121.0"
"2001","64191474.0"
"2002","65143054.0"
"2003","66085803.0"
"2004","67007855.0"
"2005","67903406.0"
"2006","68763405.0"
"2007","69597281.0"
"2008","70440032.0"
"2009","71339185.0"
"2010","72326914.0"
"2011","73409455.0"
"2012","74569867.0"
"2013","75787333.0"
"2014","77030628.0"
"2015","78271472.0"
"2016","79512426.0"
