"Country Name","Country Code","Year","Value"
"Turkmenistan","TKM","1960","1603258"
"Turkmenistan","TKM","1961","1658362"
"Turkmenistan","TKM","1962","1715408"
"Turkmenistan","TKM","1963","1773853"
"Turkmenistan","TKM","1964","1833063"
"Turkmenistan","TKM","1965","1892599"
"Turkmenistan","TKM","1966","1952141"
"Turkmenistan","TKM","1967","2011763"
"Turkmenistan","TKM","1968","2071789"
"Turkmenistan","TKM","1969","2132799"
"Turkmenistan","TKM","1970","2195173"
"Turkmenistan","TKM","1971","2258964"
"Turkmenistan","TKM","1972","2324013"
"Turkmenistan","TKM","1973","2390213"
"Turkmenistan","TKM","1974","2457382"
"Turkmenistan","TKM","1975","2525361"
"Turkmenistan","TKM","1976","2594311"
"Turkmenistan","TKM","1977","2664257"
"Turkmenistan","TKM","1978","2734896"
"Turkmenistan","TKM","1979","2805818"
"Turkmenistan","TKM","1980","2876808"
"Turkmenistan","TKM","1981","2947779"
"Turkmenistan","TKM","1982","3019066"
"Turkmenistan","TKM","1983","3091511"
"Turkmenistan","TKM","1984","3166221"
"Turkmenistan","TKM","1985","3244018"
"Turkmenistan","TKM","1986","3324456"
"Turkmenistan","TKM","1987","3407319"
"Turkmenistan","TKM","1988","3493894"
"Turkmenistan","TKM","1989","3585867"
"Turkmenistan","TKM","1990","3683966"
"Turkmenistan","TKM","1991","3789185"
"Turkmenistan","TKM","1992","3899843"
"Turkmenistan","TKM","1993","4010789"
"Turkmenistan","TKM","1994","4115099"
"Turkmenistan","TKM","1995","4207840"
"Turkmenistan","TKM","1996","4287344"
"Turkmenistan","TKM","1997","4355114"
"Turkmenistan","TKM","1998","4413477"
"Turkmenistan","TKM","1999","4466132"
"Turkmenistan","TKM","2000","4516131"
"Turkmenistan","TKM","2001","4564080"
"Turkmenistan","TKM","2002","4610002"
"Turkmenistan","TKM","2003","4655741"
"Turkmenistan","TKM","2004","4703398"
"Turkmenistan","TKM","2005","4754641"
"Turkmenistan","TKM","2006","4810105"
"Turkmenistan","TKM","2007","4870137"
"Turkmenistan","TKM","2008","4935762"
"Turkmenistan","TKM","2009","5007950"
"Turkmenistan","TKM","2010","5087210"
"Turkmenistan","TKM","2011","5174061"
"Turkmenistan","TKM","2012","5267839"
"Turkmenistan","TKM","2013","5366277"
"Turkmenistan","TKM","2014","5466241"
"Turkmenistan","TKM","2015","5565284"
"Turkmenistan","TKM","2016","5662544"
