"Country Name","Country Code","Year","Value"
"Tuvalu","TUV","1960","6104"
"Tuvalu","TUV","1961","6246"
"Tuvalu","TUV","1962","6389"
"Tuvalu","TUV","1963","6538"
"Tuvalu","TUV","1964","6684"
"Tuvalu","TUV","1965","6815"
"Tuvalu","TUV","1966","6938"
"Tuvalu","TUV","1967","7040"
"Tuvalu","TUV","1968","7133"
"Tuvalu","TUV","1969","7214"
"Tuvalu","TUV","1970","7303"
"Tuvalu","TUV","1971","7381"
"Tuvalu","TUV","1972","7458"
"Tuvalu","TUV","1973","7537"
"Tuvalu","TUV","1974","7616"
"Tuvalu","TUV","1975","7677"
"Tuvalu","TUV","1976","7749"
"Tuvalu","TUV","1977","7816"
"Tuvalu","TUV","1978","7888"
"Tuvalu","TUV","1979","7962"
"Tuvalu","TUV","1980","8052"
"Tuvalu","TUV","1981","8154"
"Tuvalu","TUV","1982","8284"
"Tuvalu","TUV","1983","8413"
"Tuvalu","TUV","1984","8530"
"Tuvalu","TUV","1985","8650"
"Tuvalu","TUV","1986","8747"
"Tuvalu","TUV","1987","8820"
"Tuvalu","TUV","1988","8883"
"Tuvalu","TUV","1989","8947"
"Tuvalu","TUV","1990","9003"
"Tuvalu","TUV","1991","9053"
"Tuvalu","TUV","1992","9109"
"Tuvalu","TUV","1993","9156"
"Tuvalu","TUV","1994","9190"
"Tuvalu","TUV","1995","9230"
"Tuvalu","TUV","1996","9256"
"Tuvalu","TUV","1997","9277"
"Tuvalu","TUV","1998","9306"
"Tuvalu","TUV","1999","9345"
"Tuvalu","TUV","2000","9420"
"Tuvalu","TUV","2001","9512"
"Tuvalu","TUV","2002","9635"
"Tuvalu","TUV","2003","9767"
"Tuvalu","TUV","2004","9894"
"Tuvalu","TUV","2005","10027"
"Tuvalu","TUV","2006","10137"
"Tuvalu","TUV","2007","10243"
"Tuvalu","TUV","2008","10340"
"Tuvalu","TUV","2009","10441"
"Tuvalu","TUV","2010","10531"
"Tuvalu","TUV","2011","10628"
"Tuvalu","TUV","2012","10725"
"Tuvalu","TUV","2013","10819"
"Tuvalu","TUV","2014","10908"
"Tuvalu","TUV","2015","11001"
"Tuvalu","TUV","2016","11097"
