"Country Name","Country Code","Year","Value"
"Uganda","UGA","1960","6788214"
"Uganda","UGA","1961","7006633"
"Uganda","UGA","1962","7240174"
"Uganda","UGA","1963","7487429"
"Uganda","UGA","1964","7746198"
"Uganda","UGA","1965","8014401"
"Uganda","UGA","1966","8292776"
"Uganda","UGA","1967","8580676"
"Uganda","UGA","1968","8872920"
"Uganda","UGA","1969","9162833"
"Uganda","UGA","1970","9446064"
"Uganda","UGA","1971","9720399"
"Uganda","UGA","1972","9988380"
"Uganda","UGA","1973","10256429"
"Uganda","UGA","1974","10533716"
"Uganda","UGA","1975","10827147"
"Uganda","UGA","1976","11139833"
"Uganda","UGA","1977","11470867"
"Uganda","UGA","1978","11818307"
"Uganda","UGA","1979","12178544"
"Uganda","UGA","1980","12549540"
"Uganda","UGA","1981","12930209"
"Uganda","UGA","1982","13323332"
"Uganda","UGA","1983","13735271"
"Uganda","UGA","1984","14174470"
"Uganda","UGA","1985","14646624"
"Uganda","UGA","1986","15154521"
"Uganda","UGA","1987","15695411"
"Uganda","UGA","1988","16262533"
"Uganda","UGA","1989","16846090"
"Uganda","UGA","1990","17438907"
"Uganda","UGA","1991","18040438"
"Uganda","UGA","1992","18652889"
"Uganda","UGA","1993","19275422"
"Uganda","UGA","1994","19907634"
"Uganda","UGA","1995","20550291"
"Uganda","UGA","1996","21202118"
"Uganda","UGA","1997","21865931"
"Uganda","UGA","1998","22551789"
"Uganda","UGA","1999","23272995"
"Uganda","UGA","2000","24039274"
"Uganda","UGA","2001","24854892"
"Uganda","UGA","2002","25718048"
"Uganda","UGA","2003","26624820"
"Uganda","UGA","2004","27568436"
"Uganda","UGA","2005","28543940"
"Uganda","UGA","2006","29550662"
"Uganda","UGA","2007","30590487"
"Uganda","UGA","2008","31663896"
"Uganda","UGA","2009","32771895"
"Uganda","UGA","2010","33915133"
"Uganda","UGA","2011","35093648"
"Uganda","UGA","2012","36306796"
"Uganda","UGA","2013","37553726"
"Uganda","UGA","2014","38833338"
"Uganda","UGA","2015","40144870"
"Uganda","UGA","2016","41487965"
