"Country Name","Country Code","Year","Value"
"Ukraine","UKR","1960","42662149"
"Ukraine","UKR","1961","43203635"
"Ukraine","UKR","1962","43749470"
"Ukraine","UKR","1963","44285899"
"Ukraine","UKR","1964","44794327"
"Ukraine","UKR","1965","45261935"
"Ukraine","UKR","1966","45682308"
"Ukraine","UKR","1967","46060452"
"Ukraine","UKR","1968","46409002"
"Ukraine","UKR","1969","46746669"
"Ukraine","UKR","1970","47086761"
"Ukraine","UKR","1971","47433805"
"Ukraine","UKR","1972","47783011"
"Ukraine","UKR","1973","48127172"
"Ukraine","UKR","1974","48455122"
"Ukraine","UKR","1975","48758987"
"Ukraine","UKR","1976","49036456"
"Ukraine","UKR","1977","49290905"
"Ukraine","UKR","1978","49526883"
"Ukraine","UKR","1979","49751257"
"Ukraine","UKR","1980","49968812"
"Ukraine","UKR","1981","50221000"
"Ukraine","UKR","1982","50384000"
"Ukraine","UKR","1983","50564000"
"Ukraine","UKR","1984","50754000"
"Ukraine","UKR","1985","50917000"
"Ukraine","UKR","1986","51097000"
"Ukraine","UKR","1987","51293000"
"Ukraine","UKR","1988","51521000"
"Ukraine","UKR","1989","51773000"
"Ukraine","UKR","1990","51892000"
"Ukraine","UKR","1991","52000470"
"Ukraine","UKR","1992","52150266"
"Ukraine","UKR","1993","52179210"
"Ukraine","UKR","1994","51921041"
"Ukraine","UKR","1995","51512299"
"Ukraine","UKR","1996","51057189"
"Ukraine","UKR","1997","50594105"
"Ukraine","UKR","1998","50143939"
"Ukraine","UKR","1999","49673350"
"Ukraine","UKR","2000","49175848"
"Ukraine","UKR","2001","48683865"
"Ukraine","UKR","2002","48202500"
"Ukraine","UKR","2003","47812950"
"Ukraine","UKR","2004","47451600"
"Ukraine","UKR","2005","47105150"
"Ukraine","UKR","2006","46787750"
"Ukraine","UKR","2007","46509350"
"Ukraine","UKR","2008","46258200"
"Ukraine","UKR","2009","46053300"
"Ukraine","UKR","2010","45870700"
"Ukraine","UKR","2011","45706100"
"Ukraine","UKR","2012","45593300"
"Ukraine","UKR","2013","45489600"
"Ukraine","UKR","2014","45271947"
"Ukraine","UKR","2015","45154029"
"Ukraine","UKR","2016","45004645"
