"Country Name","Country Code","Year","Value"
"United Arab Emirates","ARE","1960","92634"
"United Arab Emirates","ARE","1961","101078"
"United Arab Emirates","ARE","1962","112472"
"United Arab Emirates","ARE","1963","125566"
"United Arab Emirates","ARE","1964","138529"
"United Arab Emirates","ARE","1965","150362"
"United Arab Emirates","ARE","1966","160481"
"United Arab Emirates","ARE","1967","170283"
"United Arab Emirates","ARE","1968","183194"
"United Arab Emirates","ARE","1969","203820"
"United Arab Emirates","ARE","1970","235499"
"United Arab Emirates","ARE","1971","278808"
"United Arab Emirates","ARE","1972","332760"
"United Arab Emirates","ARE","1973","397174"
"United Arab Emirates","ARE","1974","471364"
"United Arab Emirates","ARE","1975","554324"
"United Arab Emirates","ARE","1976","646943"
"United Arab Emirates","ARE","1977","748117"
"United Arab Emirates","ARE","1978","852262"
"United Arab Emirates","ARE","1979","952040"
"United Arab Emirates","ARE","1980","1042384"
"United Arab Emirates","ARE","1981","1120900"
"United Arab Emirates","ARE","1982","1189545"
"United Arab Emirates","ARE","1983","1253060"
"United Arab Emirates","ARE","1984","1318478"
"United Arab Emirates","ARE","1985","1391052"
"United Arab Emirates","ARE","1986","1472218"
"United Arab Emirates","ARE","1987","1560718"
"United Arab Emirates","ARE","1988","1655849"
"United Arab Emirates","ARE","1989","1756043"
"United Arab Emirates","ARE","1990","1860174"
"United Arab Emirates","ARE","1991","1970026"
"United Arab Emirates","ARE","1992","2086639"
"United Arab Emirates","ARE","1993","2207405"
"United Arab Emirates","ARE","1994","2328686"
"United Arab Emirates","ARE","1995","2448820"
"United Arab Emirates","ARE","1996","2571020"
"United Arab Emirates","ARE","1997","2700010"
"United Arab Emirates","ARE","1998","2838145"
"United Arab Emirates","ARE","1999","2988162"
"United Arab Emirates","ARE","2000","3154925"
"United Arab Emirates","ARE","2001","3326032"
"United Arab Emirates","ARE","2002","3507232"
"United Arab Emirates","ARE","2003","3741932"
"United Arab Emirates","ARE","2004","4087931"
"United Arab Emirates","ARE","2005","4579562"
"United Arab Emirates","ARE","2006","5242032"
"United Arab Emirates","ARE","2007","6044067"
"United Arab Emirates","ARE","2008","6894278"
"United Arab Emirates","ARE","2009","7666393"
"United Arab Emirates","ARE","2010","8270684"
"United Arab Emirates","ARE","2011","8672475"
"United Arab Emirates","ARE","2012","8900453"
"United Arab Emirates","ARE","2013","9006263"
"United Arab Emirates","ARE","2014","9070867"
"United Arab Emirates","ARE","2015","9154302"
"United Arab Emirates","ARE","2016","9269612"
