"Year","Value"
"1960","52400000.0"
"1961","52800000.0"
"1962","53250000.0"
"1963","53650000.0"
"1964","54000000.0"
"1965","54348050.0"
"1966","54648500.0"
"1967","54943600.0"
"1968","55211700.0"
"1969","55441750.0"
"1970","55663250.0"
"1971","55896223.0"
"1972","56086065.0"
"1973","56194527.0"
"1974","56229974.0"
"1975","56225800.0"
"1976","56211968.0"
"1977","56193492.0"
"1978","56196504.0"
"1979","56246951.0"
"1980","56314216.0"
"1981","56333829.0"
"1982","56313641.0"
"1983","56332848.0"
"1984","56422072.0"
"1985","56550268.0"
"1986","56681396.0"
"1987","56802050.0"
"1988","56928327.0"
"1989","57076711.0"
"1990","57247586.0"
"1991","57424897.0"
"1992","57580402.0"
"1993","57718614.0"
"1994","57865745.0"
"1995","58019030.0"
"1996","58166950.0"
"1997","58316954.0"
"1998","58487141.0"
"1999","58682466.0"
"2000","58892514.0"
"2001","59119673.0"
"2002","59370479.0"
"2003","59647577.0"
"2004","59987905.0"
"2005","60401206.0"
"2006","60846820.0"
"2007","61322463.0"
"2008","61806995.0"
"2009","62276270.0"
"2010","62766365.0"
"2011","63258918.0"
"2012","63700300.0"
"2013","64128226.0"
"2014","64613160.0"
"2015","65128861.0"
"2016","65637239.0"
