"Year","Value"
"1960","180671000.0"
"1961","183691000.0"
"1962","186538000.0"
"1963","189242000.0"
"1964","191889000.0"
"1965","194303000.0"
"1966","196560000.0"
"1967","198712000.0"
"1968","200706000.0"
"1969","202677000.0"
"1970","205052000.0"
"1971","207661000.0"
"1972","209896000.0"
"1973","211909000.0"
"1974","213854000.0"
"1975","215973000.0"
"1976","218035000.0"
"1977","220239000.0"
"1978","222585000.0"
"1979","225055000.0"
"1980","227225000.0"
"1981","229466000.0"
"1982","231664000.0"
"1983","233792000.0"
"1984","235825000.0"
"1985","237924000.0"
"1986","240133000.0"
"1987","242289000.0"
"1988","244499000.0"
"1989","246819000.0"
"1990","249623000.0"
"1991","252981000.0"
"1992","256514000.0"
"1993","259919000.0"
"1994","263126000.0"
"1995","266278000.0"
"1996","269394000.0"
"1997","272657000.0"
"1998","275854000.0"
"1999","279040000.0"
"2000","282162411.0"
"2001","284968955.0"
"2002","287625193.0"
"2003","290107933.0"
"2004","292805298.0"
"2005","295516599.0"
"2006","298379912.0"
"2007","301231207.0"
"2008","304093966.0"
"2009","306771529.0"
"2010","309348193.0"
"2011","311663358.0"
"2012","313998379.0"
"2013","316204908.0"
"2014","318563456.0"
"2015","320896618.0"
"2016","323127513.0"
