"Year","Value"
"1960","1169383343.0"
"1961","1173937918.0"
"1962","1190950075.0"
"1963","1219340759.0"
"1964","1247381879.0"
"1965","1276358974.0"
"1966","1308236986.0"
"1967","1339305475.0"
"1968","1371288764.0"
"1969","1404959930.0"
"1970","1439634842.0"
"1971","1475016962.0"
"1972","1508725239.0"
"1973","1541588642.0"
"1974","1573124797.0"
"1975","1602470887.0"
"1976","1630343319.0"
"1977","1656761058.0"
"1978","1683277739.0"
"1979","1710120769.0"
"1980","1736712813.0"
"1981","1764018911.0"
"1982","1793557193.0"
"1983","1823149546.0"
"1984","1851901762.0"
"1985","1881420096.0"
"1986","1912435225.0"
"1987","1944908999.0"
"1988","1977511264.0"
"1989","2009227645.0"
"1990","2039466775.0"
"1991","2067741505.0"
"1992","2094185393.0"
"1993","2119779275.0"
"1994","2144910438.0"
"1995","2169706348.0"
"1996","2193932118.0"
"1997","2218221023.0"
"1998","2241635821.0"
"1999","2263862392.0"
"2000","2284670482.0"
"2001","2303956411.0"
"2002","2322321868.88287"
"2003","2340363116.89893"
"2004","2358173886.99137"
"2005","2376019944.24397"
"2006","2393626721.48499"
"2007","2410867951.99093"
"2008","2428374657.29553"
"2009","2446466231.1102"
"2010","2464534816.36223"
"2011","2482888622.35782"
"2012","2501989805.07723"
"2013","2521454986.61008"
"2014","2541065424.73916"
"2015","2560411825.68203"
"2016","2579909675.0"
