"Country Name","Country Code","Year","Value"
"Uzbekistan","UZB","1960","8549493"
"Uzbekistan","UZB","1961","8837349"
"Uzbekistan","UZB","1962","9138097"
"Uzbekistan","UZB","1963","9454250"
"Uzbekistan","UZB","1964","9788986"
"Uzbekistan","UZB","1965","10143740"
"Uzbekistan","UZB","1966","10520879"
"Uzbekistan","UZB","1967","10917446"
"Uzbekistan","UZB","1968","11323095"
"Uzbekistan","UZB","1969","11723846"
"Uzbekistan","UZB","1970","12110028"
"Uzbekistan","UZB","1971","12477058"
"Uzbekistan","UZB","1972","12828625"
"Uzbekistan","UZB","1973","13173590"
"Uzbekistan","UZB","1974","13525094"
"Uzbekistan","UZB","1975","13892638"
"Uzbekistan","UZB","1976","14279120"
"Uzbekistan","UZB","1977","14681459"
"Uzbekistan","UZB","1978","15096012"
"Uzbekistan","UZB","1979","15516862"
"Uzbekistan","UZB","1980","15939744"
"Uzbekistan","UZB","1981","16363562"
"Uzbekistan","UZB","1982","16790069"
"Uzbekistan","UZB","1983","17221212"
"Uzbekistan","UZB","1984","17659975"
"Uzbekistan","UZB","1985","18108300"
"Uzbekistan","UZB","1986","18565477"
"Uzbekistan","UZB","1987","19029877"
"Uzbekistan","UZB","1988","19501225"
"Uzbekistan","UZB","1989","19979127"
"Uzbekistan","UZB","1990","20510000"
"Uzbekistan","UZB","1991","20952000"
"Uzbekistan","UZB","1992","21449000"
"Uzbekistan","UZB","1993","21942000"
"Uzbekistan","UZB","1994","22377000"
"Uzbekistan","UZB","1995","22785000"
"Uzbekistan","UZB","1996","23225000"
"Uzbekistan","UZB","1997","23667000"
"Uzbekistan","UZB","1998","24051000"
"Uzbekistan","UZB","1999","24311650"
"Uzbekistan","UZB","2000","24650400"
"Uzbekistan","UZB","2001","24964450"
"Uzbekistan","UZB","2002","25271850"
"Uzbekistan","UZB","2003","25567650"
"Uzbekistan","UZB","2004","25864350"
"Uzbekistan","UZB","2005","26167000"
"Uzbekistan","UZB","2006","26488250"
"Uzbekistan","UZB","2007","26868000"
"Uzbekistan","UZB","2008","27302800"
"Uzbekistan","UZB","2009","27767400"
"Uzbekistan","UZB","2010","28562400"
"Uzbekistan","UZB","2011","29339400"
"Uzbekistan","UZB","2012","29774500"
"Uzbekistan","UZB","2013","30243200"
"Uzbekistan","UZB","2014","30757700"
"Uzbekistan","UZB","2015","31298900"
"Uzbekistan","UZB","2016","31848200"
