"Year","Value"
"1960","63699.0"
"1961","65713.0"
"1962","67808.0"
"1963","69964.0"
"1964","72131.0"
"1965","74289.0"
"1966","76413.0"
"1967","78522.0"
"1968","80673.0"
"1969","82940.0"
"1970","85389.0"
"1971","88022.0"
"1972","90823.0"
"1973","93765.0"
"1974","96796.0"
"1975","99872.0"
"1976","103028.0"
"1977","106222.0"
"1978","109429.0"
"1979","112580.0"
"1980","115632.0"
"1981","118580.0"
"1982","121435.0"
"1983","124249.0"
"1984","127092.0"
"1985","130027.0"
"1986","133038.0"
"1987","136125.0"
"1988","139366.0"
"1989","142849.0"
"1990","146634.0"
"1991","150778.0"
"1992","155243.0"
"1993","159814.0"
"1994","164208.0"
"1995","168235.0"
"1996","171801.0"
"1997","174999.0"
"1998","178078.0"
"1999","181345.0"
"2000","185063.0"
"2001","189290.0"
"2002","193956.0"
"2003","198964.0"
"2004","204143.0"
"2005","209370.0"
"2006","214634.0"
"2007","219953.0"
"2008","225340.0"
"2009","230785.0"
"2010","236295.0"
"2011","241871.0"
"2012","247485.0"
"2013","253142.0"
"2014","258850.0"
"2015","264603.0"
"2016","270402.0"
