"Year","Value"
"1960","8146847.0"
"1961","8461685.0"
"1962","8790589.0"
"1963","9130349.0"
"1964","9476252.0"
"1965","9824692.0"
"1966","10175140.0"
"1967","10528054.0"
"1968","10881995.0"
"1969","11235491.0"
"1970","11587761.0"
"1971","11937805.0"
"1972","12286439.0"
"1973","12636969.0"
"1974","12994025.0"
"1975","13360987.0"
"1976","13739142.0"
"1977","14127787.0"
"1978","14525931.0"
"1979","14931739.0"
"1980","15343916.0"
"1981","15761799.0"
"1982","16185894.0"
"1983","16617346.0"
"1984","17057785.0"
"1985","17508059.0"
"1986","17968552.0"
"1987","18437794.0"
"1988","18912526.0"
"1989","19388342.0"
"1990","19861956.0"
"1991","20332079.0"
"1992","20799075.0"
"1993","21263443.0"
"1994","21726352.0"
"1995","22188667.0"
"1996","22650102.0"
"1997","23110178.0"
"1998","23569454.0"
"1999","24028689.0"
"2000","24488340.0"
"2001","24948476.0"
"2002","25408700.0"
"2003","25868523.0"
"2004","26327225.0"
"2005","26784161.0"
"2006","27239168.0"
"2007","27691965.0"
"2008","28141701.0"
"2009","28587323.0"
"2010","29028033.0"
"2011","29463291.0"
"2012","29893080.0"
"2013","30317848.0"
"2014","30738378.0"
"2015","31155134.0"
"2016","31568179.0"
