"Country Name","Country Code","Year","Value"
"Vietnam","VNM","1960","34743000"
"Vietnam","VNM","1961","35428000"
"Vietnam","VNM","1962","36123000"
"Vietnam","VNM","1963","36836000"
"Vietnam","VNM","1964","37574000"
"Vietnam","VNM","1965","38341000"
"Vietnam","VNM","1966","39142000"
"Vietnam","VNM","1967","39980000"
"Vietnam","VNM","1968","40856000"
"Vietnam","VNM","1969","41773000"
"Vietnam","VNM","1970","42729000"
"Vietnam","VNM","1971","43725000"
"Vietnam","VNM","1972","44758000"
"Vietnam","VNM","1973","45825000"
"Vietnam","VNM","1974","46918000"
"Vietnam","VNM","1975","48030000"
"Vietnam","VNM","1976","49158000"
"Vietnam","VNM","1977","50295000"
"Vietnam","VNM","1978","51436000"
"Vietnam","VNM","1979","52574000"
"Vietnam","VNM","1980","53700000"
"Vietnam","VNM","1981","54722000"
"Vietnam","VNM","1982","55687000"
"Vietnam","VNM","1983","56655000"
"Vietnam","VNM","1984","57692000"
"Vietnam","VNM","1985","58868000"
"Vietnam","VNM","1986","60249000"
"Vietnam","VNM","1987","61750000"
"Vietnam","VNM","1988","63263000"
"Vietnam","VNM","1989","64774000"
"Vietnam","VNM","1990","66016700"
"Vietnam","VNM","1991","67242400"
"Vietnam","VNM","1992","68450100"
"Vietnam","VNM","1993","69644500"
"Vietnam","VNM","1994","70824500"
"Vietnam","VNM","1995","71995500"
"Vietnam","VNM","1996","73156700"
"Vietnam","VNM","1997","74306900"
"Vietnam","VNM","1998","75456300"
"Vietnam","VNM","1999","76596700"
"Vietnam","VNM","2000","77630900"
"Vietnam","VNM","2001","78620500"
"Vietnam","VNM","2002","79537700"
"Vietnam","VNM","2003","80467400"
"Vietnam","VNM","2004","81436400"
"Vietnam","VNM","2005","82392100"
"Vietnam","VNM","2006","83311200"
"Vietnam","VNM","2007","84218500"
"Vietnam","VNM","2008","85118700"
"Vietnam","VNM","2009","86025000"
"Vietnam","VNM","2010","86932500"
"Vietnam","VNM","2011","87860300"
"Vietnam","VNM","2012","88809200"
"Vietnam","VNM","2013","89759500"
"Vietnam","VNM","2014","90728900"
"Vietnam","VNM","2015","91713300"
"Vietnam","VNM","2016","92701100"
